MORE:Ranker,MOGONET:Ranker,shap,lime,t_test,randomforest_feature_importance,xgb_feature_importance,rf_permutation_feature_importance,xgb_permutation_feature_importance,lasso,ridge,elasticnet,boruta,mannwhitneyu,svm_rfe,mean_rank,min_rank,median_rank,rra_rank,geom.mean_rank,stuart_rank,mra_rank,mean_weight,max_weight,median_weight,geom.mean_weight,ta_weight
HEPACAM,ABCA10,SPRY2,SPRY2,FIGF,SPRY2,SPRY2,CPA1,SPRY2,COL10A1,COL10A1,COL10A1,ABCA10,SDPR,CPA1,COL10A1,SPRY2,ADAMTS5,MMP11,COL10A1,COL10A1,SPRY2,SPRY2,CPA1,SPRY2,COL10A1,SPRY2
CA4,MAP1LC3C,ADAMTS5,CD300LG,MMP11,MESTIT1,ADAMTS5,LRRC3B,LRRC3B,GABRD,PPAPDC1A,PPAPDC1A,ABCB5,TMEM220,NEK2,LRRC3B,ABCA10,MMP11,COL10A1,MMP11,MMP11,ADAMTS5,COL10A1,COL10A1,COL10A1,ADAMTS5,COL10A1
KLHL29,MELK,CD300LG,MESTIT1,CA4,CD300LG,TMEM220,MYOC,MYOC,DPP6,MMP11,GABRD,ACACB,ADAMTS5,MYOC,ADAMTS5,COL10A1,COL10A1,MESTIT1,ADAMTS5,ADAMTS5,COL10A1,ADAMTS5,AQP7P1,GABRD,LRRC3B,ADAMTS5
STAB2,MESTIT1,TMEM220,ADAMTS5,COL10A1,ADAMTS5,CD300LG,CA4,CA4,KLHL31,GABRD,LRRC3B,ACVR1C,FIGF,CA4,MMP11,FIGF,LRRC3B,SPRY2,LRRC3B,LRRC3B,CD300LG,MESTIT1,SDPR,PPAPDC1A,SPRY2,MESTIT1
CENPF,MKI67,TSLP,DMD,SDPR,SDPR,TSLP,GPAM,GPAM,PPAPDC1A,GLRA4,GLRA4,ADAMTS5,CD300LG,GPAM,FIGF,SDPR,FIGF,ADAMTS5,SPRY2,SPRY2,CA4,MMP11,IQGAP3,MESTIT1,MMP11,MMP11
LOC728264,MMP11,MMP11,SDPR,LRRC3B,TMEM220,LOC572558,HSD17B13,HSD17B13,LYVE1,LRRC3B,MMP11,ADH1A,MMP11,HSD17B13,MESTIT1,CA4,SPRY2,FIGF,FIGF,FIGF,LRRC3B,PPAPDC1A,MYOC,ADAMTS5,FIGF,PPAPDC1A
EPR1,MRAP,COL10A1,FIGF,NEK2,MMP11,COL10A1,LOC572558,LOC572558,ADAMTS5,DPP6,DPP6,ADH4,DMD,LOC572558,CA4,CPA1,MESTIT1,LRRC3B,MESTIT1,MESTIT1,MMP11,GABRD,CA4,CD300LG,DMD,GABRD
NACC1,MYH1,DMD,MMP11,ADAMTS5,COL10A1,DMD,MMP11,MMP11,PRRG3,KLHL31,PRRG3,ADRA1A,LOC286367,MMP11,DMD,MESTIT1,CA4,NEK2,CA4,CA4,SDPR,CD300LG,GPAM,MMP11,MESTIT1,CD300LG
ADH1A,MYOC,FIGF,TSLP,CD300LG,FIGF,MMP11,COL10A1,COL10A1,LRRC3B,HSD17B6,KLHL31,ALDH1L1,KLHL29,COL10A1,CPA1,PPAPDC1A,CD300LG,CA4,CD300LG,DMD,TMEM220,LRRC3B,HSD17B13,DPP6,CD300LG,LRRC3B
PLK1,MYOM1,SDPR,CPA1,TMEM220,DMD,FIGF,FIGF,FIGF,GLRA4,LRRTM2,LYVE1,ANGPT4,SPRY2,FIGF,SPRY2,LRRC3B,NEK2,CD300LG,SDPR,NEK2,DMD,DPP6,LOC572558,LRRC3B,DPP6,DPP6
LOC729467,NAALAD2,LRRC3B,COL10A1,RYR3,LOC286367,KLHL33,PKMYT1,PKMYT1,SLC35A2,NEK2,LRRTM2,ANGPTL7,ARHGAP20,PKMYT1,NEK2,GABRD,PKMYT1,DMD,DMD,CD300LG,FIGF,GLRA4,MMP11,GLRA4,PPAPDC1A,GLRA4
ACVR1C,NACC1,LOC572558,NACC1,SPRY2,WDR62,SDPR,MESTIT1,MESTIT1,C1QTNF9,MESTIT1,SLC7A14,ANLN,MESTIT1,MESTIT1,LYVE1,MMP11,LYVE1,FAM13A,TMEM220,SDPR,GLRA4,KLHL31,FIGF,KLHL31,SLC35A2,KLHL31
LHCGR,NCAPG,PALMD,FAM13A,DMD,FAM13A,PALMD,KIF4A,KIF4A,NEK2,ADH4,SLC35A2,AOC3,CA4,LRRC3B,DPP6,TMEM220,DMD,IQGAP3,DPP6,CPA1,DPP6,FIGF,UBE2C,TMEM220,LYVE1,FIGF
MMP11,NDC80,KLHL33,TMEM220,HIF3A,TSLP,MYOC,MASP1,MASP1,MESTIT1,IQGAP3,HSD17B6,APOB,NEK2,KIF4A,FAM13A,CD300LG,DPP6,SDPR,NEK2,DPP6,GABRD,PRRG3,PKMYT1,PRRG3,TMEM220,PRRG3
ARHGAP20,NEIL3,MYOC,LRRC2,KLHL29,PPP1R12B,LRRC3B,LYVE1,LYVE1,ADH4,PRRG3,C1QTNF9,AQP7P1,PALMD,LYVE1,SDPR,ADAMTS5,HSD17B13,PKMYT1,CPA1,TMEM220,LOC572558,DMD,MESTIT1,LYVE1,PRRG3,DMD
CAT,NEK2,CPA1,DST,DPP6,NKAPL,LEPR,AQP7P3,AQP7P3,DTL,SLC35A2,CA4,AQP7P3,CAV1,AQP7P3,PKMYT1,ANGPTL7,CPA1,CPA1,PPAPDC1A,FAM13A,MESTIT1,LYVE1,LRRC3B,DMD,NEK2,LYVE1
