MORE:Ranker,MOGONET:Ranker,shap,lime,t_test,randomforest_feature_importance,xgb_feature_importance,rf_permutation_feature_importance,xgb_permutation_feature_importance,lasso,ridge,elasticnet,boruta,mannwhitneyu,svm_rfe,mean_rank,min_rank,median_rank,rra_rank,geom.mean_rank,stuart_rank,mra_rank,mean_weight,max_weight,median_weight,geom.mean_weight,ta_weight
PTTG1,IGFBP6,CD300LG,SPRY2,FIGF,NKAPL,CD300LG,hsa-miR-21-5p,CD300LG,COL10A1,COL10A1,COL10A1,ABCA10,CD300LG,hsa-miR-21-5p,LRRC3B,CD300LG,MMP11,CD300LG,CD300LG,CD300LG,CD300LG,COL10A1,hsa-miR-21-5p,COL10A1,PPP1R12B,COL10A1
hsa-miR-329-3p,CD300LG,SPRY2,NKAPL,COL10A1,SPRY2,SPRY2,hsa-miR-486-5p,hsa-miR-486-5p,hsa-miR-21-5p,PPAPDC1A,LRRC3B,ABCB5,FIGF,hsa-miR-139-5p,hsa-miR-21-5p,ABCA10,COL10A1,LRRC3B,COL10A1,COL10A1,COL10A1,CD300LG,SKA3,CD300LG,NKAPL,CD300LG
hsa-miR-365a-3p,LOC728264,PPP1R12B,ARHGAP20,LRRC3B,CEP68,PPP1R12B,hsa-let-7c-3p,hsa-let-7c-3p,LRRC3B,B3GALT1,B3GALT1,ACACB,NKAPL,hsa-miR-139-3p,NKAPL,hsa-miR-21-5p,LRRC3B,MMP11,LRRC3B,LRRC3B,SPRY2,SPRY2,KIAA0408,SPRY2,LRRC3B,SPRY2
CA4,hsa-miR-99a-5p,FAM13A,CEP68,MMP11,ARHGAP20,FAM13A,hsa-let-7c-5p,hsa-let-7c-5p,hsa-miR-96-5p,LRRC3B,MMP11,ACVR1C,ARHGAP20,hsa-miR-96-5p,PPP1R12B,FIGF,CD300LG,COL10A1,NKAPL,MMP11,LRRC3B,NKAPL,KIF2C,NKAPL,hsa-miR-21-5p,NKAPL
hsa-miR-218-5p,hsa-miR-511-5p,KLHL29,MMP11,CA4,LRRTM2,KLHL29,hsa-miR-139-5p,hsa-miR-139-5p,B3GALT1,MMP11,PPAPDC1A,ADAMTS5,ADAMTS5,hsa-miR-183-5p,FIGF,NKAPL,hsa-miR-21-5p,NKAPL,hsa-miR-21-5p,NKAPL,ARHGAP20,LRRC3B,SPRY2,LRRC3B,CD300LG,LRRC3B
hsa-miR-154-5p,PRRG3,NKAPL,FAM13A,hsa-miR-139-5p,TMEM220,NKAPL,hsa-miR-139-3p,hsa-miR-139-3p,NACC1,hsa-miR-493-5p,hsa-miR-21-5p,ADH1A,MMP11,hsa-miR-145-5p,CD300LG,hsa-miR-96-5p,PPP1R12B,PPP1R12B,MMP11,hsa-miR-21-5p,MMP11,MMP11,CENPM,hsa-miR-21-5p,FAM13A,MMP11
CLEC3B,GSN,FIGF,TMEM220,HPSE2,hsa-miR-10b-5p,FIGF,hsa-miR-96-5p,hsa-miR-96-5p,PPP1R12B,hsa-miR-21-5p,GABRD,ADH4,CA4,hsa-miR-204-5p,COL10A1,COL10A1,FIGF,FAM13A,FIGF,PPP1R12B,NKAPL,PPP1R12B,MAP1LC3C,MMP11,TMEM220,PPP1R12B
hsa-miR-493-5p,hsa-miR-224-3p,TMEM220,CD300LG,NKAPL,COL10A1,TMEM220,hsa-miR-183-5p,hsa-miR-183-5p,SLC35A2,hsa-miR-28-3p,hsa-miR-96-5p,ADRA1A,FAM13A,hsa-miR-10b-5p,FAM13A,SPRY2,TMEM220,FIGF,PPP1R12B,FIGF,FIGF,B3GALT1,SLC7A14,CEP68,FIGF,B3GALT1
C18orf34,GYS2,SCARA5,ADAMTS5,CPA1,KLHL29,SCARA5,hsa-miR-145-5p,hsa-miR-145-5p,MMP11,TRPM3,SLC35A2,ALDH1L1,COL10A1,hsa-miR-1307-5p,MMP11,PPAPDC1A,NKAPL,H2AFY,B3GALT1,FAM13A,hsa-miR-96-5p,ARHGAP20,LOC55908,ARHGAP20,COL10A1,ARHGAP20
IQGAP3,hsa-miR-200b-3p,LRRC3B,H2AFY,PAMR1,H2AFY,LRRC3B,hsa-miR-204-5p,hsa-miR-204-5p,HPSE2,GABRD,HPSE2,ANGPT4,SDPR,hsa-miR-486-5p,PAMR1,hsa-miR-32-5p,DST,hsa-miR-21-5p,FAM13A,B3GALT1,hsa-miR-21-5p,hsa-miR-21-5p,HSPB6,B3GALT1,SPRY2,hsa-miR-21-5p
