MORE:Ranker,MOGONET:Ranker,shap,lime,t_test,randomforest_feature_importance,xgb_feature_importance,rf_permutation_feature_importance,xgb_permutation_feature_importance,lasso,ridge,elasticnet,boruta,mannwhitneyu,svm_rfe,mean_rank,min_rank,median_rank,rra_rank,geom.mean_rank,stuart_rank,mra_rank,mean_weight,max_weight,median_weight,geom.mean_weight,ta_weight
1-methyladenosine,"1,2-dilinoleoyl-GPC (18:2/18:2)",N-acetyl-3-methylhistidine*,stachydrine,trigonelline (N'-methylnicotinate),stachydrine,12-HHTrE,E7EVA0,stachydrine,TBCK,N-acetyl-3-methylhistidine*,stachydrine,"1,2-dilinoleoyl-GPC (18:2/18:2)",stachydrine,trigonelline (N'-methylnicotinate),stachydrine,N-acetyl-3-methylhistidine*,stachydrine,stachydrine,stachydrine,stachydrine,stachydrine,stachydrine,trigonelline (N'-methylnicotinate),stachydrine,stachydrine,ximenoylcarnitine (C26:1)*
MIOS-DT,SAMTOR,1-linoleoyl-GPC (18:2),N-acetyl-3-methylhistidine*,stachydrine,N-acetyl-3-methylhistidine*,stachydrine,hydroxyproline,1-linoleoyl-GPC (18:2),trimethylamine N-oxide,2-methylserine,trigonelline (N'-methylnicotinate),"1,2-dilinoleoyl-GPE (18:2/18:2)*",N-acetyl-3-methylhistidine*,stachydrine,1-linoleoyl-GPC (18:2),stachydrine,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,1-palmitoleoyl-GPC* (16:1)*,TBCK,N-acetyl-3-methylhistidine*,glycosyl-N-tricosanoyl-sphingadienine (d18:2/23:0)*
deoxycarnitine,SCG1,stachydrine,RAPGEF1,1-methyl-5-imidazoleacetate,trigonelline (N'-methylnicotinate),ARL10,2'-deoxyinosine,N-acetyl-3-methylhistidine*,stachydrine,1-methyl-5-imidazolelactate,TBCK,"1,2-dipalmitoyl-GPG (16:0/16:0)",ARHGAP19-SLIT1,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,E7EVA0,trigonelline (N'-methylnicotinate),1-methyl-5-imidazolelactate,trigonelline (N'-methylnicotinate),1-linoleoyl-GPC (18:2),trigonelline (N'-methylnicotinate),TBCK,"1,5-anhydroglucitol (1,5-AG)",1-linoleoyl-GPC (18:2),1-linoleoyl-GPC (18:2),N-acetylglucosamine/N-acetylgalactosamine
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,SCG2,SNTB2,CDK8,N-acetyl-3-methylhistidine*,MBD1,N-acetyl-3-methylhistidine*,3-amino-2-piperidone,SNTB2,H0Y858,thioproline,N-acetyl-3-methylhistidine*,"1,5-anhydroglucitol (1,5-AG)",trigonelline (N'-methylnicotinate),1-methyl-5-imidazoleacetate,trimethylamine N-oxide,"1,2-dilinoleoyl-GPC (18:2/18:2)",1-methyl-5-imidazolelactate,1-linoleoyl-GPC (18:2),1-linoleoyl-GPC (18:2),1-methyl-5-imidazolelactate,1-methyl-5-imidazolelactate,trigonelline (N'-methylnicotinate),3-amino-2-piperidone,N-acetyl-3-methylhistidine*,trigonelline (N'-methylnicotinate),DOC2A
MSL1,SCN2A,CHD3,1-methyl-5-imidazolelactate,TRAPPC6A,1-methyl-5-imidazoleacetate,SNTB2,thiamin (Vitamin B1),beta-citrylglutamate,trigonelline (N'-methylnicotinate),1-methyl-5-imidazoleacetate,H0Y858,1-arachidonoyl-GPE (20:4n6)*,ANKRD11,trimethylamine N-oxide,trigonelline (N'-methylnicotinate),trigonelline (N'-methylnicotinate),TBCK,trigonelline (N'-methylnicotinate),1-methyl-5-imidazolelactate,trigonelline (N'-methylnicotinate),1-methyl-5-imidazoleacetate,1-linoleoyl-GPC (18:2),thiamin (Vitamin B1),1-methyl-5-imidazolelactate,1-methyl-5-imidazolelactate,acetylcarnitine (C2)
fructosyllysine,SCN3A,1-methyl-5-imidazolelactate,ADCY9,C19orf48P,TBCK,CHD3,X - 25109,trimethylamine N-oxide,N-acetyl-3-methylhistidine*,2'-deoxycytidine,1-methyl-5-imidazolelactate,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,TBCK,1-methyl-5-imidazolelactate,"1,2-dilinoleoyl-GPC (18:2/18:2)",TBCK,1-methyl-5-imidazoleacetate,trimethylamine N-oxide,trimethylamine N-oxide,trimethylamine N-oxide,1-linoleoyl-GPC (18:2),1-methyl-5-imidazolelactate,X - 25109,trigonelline (N'-methylnicotinate),12-HHTrE,glycosyl-N-tricosenoyl-sphingosine (d18:1/23:1)*
citrulline,SENP3,trimethylamine N-oxide,GFAP,TBCK,homocitrulline,ARHGAP19-SLIT1,N-methylpipecolate,arabitol/xylitol,arabitol/xylitol,X - 25244,arabitol/xylitol,1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,MAST2,1-linoleoyl-GPC (18:2),12-HHTrE,12-HHTrE,trimethylamine N-oxide,1-methyl-5-imidazoleacetate,TBCK,1-methyl-5-imidazoleacetate,TBCK,trimethylamine N-oxide,N-methylpipecolate,SNTB2,ANKRD11,DYNLL1
DUSP19,SEPT5,ARHGAP19-SLIT1,trigonelline (N'-methylnicotinate),FPGS,TRAPPC6A,1-linoleoyl-GPC (18:2),1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),1-methyl-5-imidazoleacetate,LIPA4,TBCK,LIPA4,1-linoleoyl-GPC (18:2),RAPGEF1,X - 23639,ANKRD11,2-methylserine,1-linoleoyl-GPC (18:2),TBCK,1-methyl-5-imidazoleacetate,TBCK,trimethylamine N-oxide,LIPA4,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),LIPA4,behenoyl dihydrosphingomyelin (d18:0/22:0)*,PACN1
ribulose/xylulose,SEPTIN7-DT,ANKRD11,TBCK,CIRBP,ARHGAP35,spermidine,"5,6-dihydrouridine",X - 23639,1-methyl-5-imidazolelactate,LIPA4,trimethylamine N-oxide,1-linoleoyl-GPE (18:2)*,ARHGAP35,12-HHTrE,arabitol/xylitol,trimethylamine N-oxide,ANKRD11,"1,2-dilinoleoyl-GPC (18:2/18:2)",12-HHTrE,"1,2-dilinoleoyl-GPC (18:2/18:2)",MAST2,1-methyl-5-imidazoleacetate,"5,6-dihydrouridine",trimethylamine N-oxide,MC4R,CHRD1
CXA1,SH3G1,MAST2,TRAPPC6A,trimethylamine N-oxide,DUSP19,MAST2,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,12-HHTrE,E7EVA0,ZMAT1,2-methylserine,1-linoleoyl-GPG (18:2)*,1-methyl-5-imidazoleacetate,X - 25244,1-methyl-5-imidazolelactate,1-linoleoyl-GPC (18:2),ANKRD52,arabitol/xylitol,"1,2-dilinoleoyl-GPC (18:2/18:2)",12-HHTrE,ANKRD11,SNTB2,glycylvaline,2-methylserine,trimethylamine N-oxide,leucylglycine
