MORE:Ranker,MOGONET:Ranker,shap,lime,t_test,randomforest_feature_importance,xgb_feature_importance,rf_permutation_feature_importance,xgb_permutation_feature_importance,lasso,ridge,elasticnet,boruta,mannwhitneyu,svm_rfe,mean_rank,min_rank,median_rank,rra_rank,geom.mean_rank,stuart_rank,mra_rank,mean_weight,max_weight,median_weight,geom.mean_weight,ta_weight
NECA2,2AAA,ANKRD11,E9PIM6,TBCK,C19orf48P,AP2A1,CYTC,SNTB2,LIPA4,ZMAT1,TBCK,2AAA,ARHGAP19-SLIT1,ARSK,TBCK,ANKRD11,TBCK,TBCK,TBCK,TBCK,TBCK,TBCK,ARSK,TBCK,TBCK,TBCK
DNAJC27-AS1,PGCA,TBCK,TTC23-AS1,TRAPPC6A,TBCK,TBCK,KIF3C,PCP,TBCK,STAT3,LIPA4,A0A087WW96,TBCK,ARHGAP35,NTN5,TBCK,ARHGAP19-SLIT1,CIRBP_x,ARHGAP19-SLIT1,CIRBP_x,ARHGAP19-SLIT1,PPT1,NUDT9,LIPA4,PPT1,PPT1
SYNPO,PNPLA6,PPT1,TBCK,CIRBP_x,CIRBP_x,TTBK1,ARHGAP35,ARHGAP19-SLIT1,ANKRD52,HBD,HBD,A0A0C4DGH3,FPGS,MLLT3,CIRBP_x,ARHGAP19-SLIT1,PPT1,ARHGAP19-SLIT1,CIRBP_x,ARHGAP19-SLIT1,ANKRD52,LIPA4,OTUD4,HBD,NTN5,ANKRD11
S10AA,PMPCB,ARHGAP19-SLIT1,APOM,FPGS,ARHGAP19-SLIT1,SNTB2,MLLT3,E9PIM6,PPT1,TBCK,ZMAT1,A4,ANKRD11,OTUD4,KLHL1,SNTB2,SNTB2,KLHL1,ANKRD52,NTN5,CIRBP_x,ANKRD11,PPP6R1,ANKRD11,PCP,LIPA4
PVRL1,PLPBP,SNTB2,LRRC57,C19orf48P,XPA,ANKRD52,OTUD4,NTN5,HBD,LIPA4,PPT1,AAKB2,CIRBP_x,PPP6R1,ARHGAP19-SLIT1,C19orf48P,CIRBP_x,NTN5,ANKRD11,ANKRD52,ANKRD11,ANKRD52,LINC02607,NTN5,ANKRD52,ANKRD52
RAPGEF1,PLCD1,PNPLA6,RSPO3,BLTP2,E9PIM6,ANKRD11,PPP6R1,CAC1E,BCAT1,NTN5,STAT3,ABI2,C19orf48P,LINC02607,ANKRD11,CIRBP_x,ANKRD52,ANKRD52,NTN5,KLHL1,E9PIM6,NTN5,ARMCX2,C19orf48P,LIPA4,ARHGAP19-SLIT1
CNOT4,PITH1,PCP,EFNB2,LINC03072,FPGS,ARHGAP19-SLIT1,LINC02607,ANKRD11,STAT3,E7EVA0,REEP5,ACOX1,CBL,ARMCX2,ANKRD52,E9PIM6,NTN5,C19orf48P,C19orf48P,ANKRD11,C19orf48P,ARHGAP19-SLIT1,CIRBP_x,ANKRD52,PNPLA6,C19orf48P
DHB11,PIP5K1C,E9PIM6,C19orf48P,APOM,LOC105376654,PCP,ARMCX2,CHD3,ASAH1,PVRL1,ANKRD52,ACTN1_x,ST7-AS1,CIRBP_x,C19orf48P,ADCY9,ANKRD11,SNTB2,PPT1,PPT1,PPT1,E9PIM6,GNPNAT1,PPT1,GLNA,CIRBP_x
RAB3A,PIK3R2,EPDR1,KLHL1,NPEPPS,PPT1,SH3G3,CIRBP_x,PFKP,REEP5,OGA,L1CAM,ACTN1_y,BLTP2,GNPNAT1,E9PIM6,ZMAT1,E9PIM6,PPT1,E9PIM6,C19orf48P,SNTB2,CIRBP_x,CEP19,STAT3,KLHL1,E9PIM6
CRYL1,PHF23,RSPO3,CBL,ST7-AS1,IRF2-DT,HUS1,GNPNAT1,TBCK,L1CAM,CXA1,NTN5,ADCY9,HUS1,CEP19,PCP,LIPA4,MAFG,ANKRD11,SNTB2,E9PIM6,HBD,C19orf48P,CSNK2A2,SNTB2,SH3G3,NTN5
