MORE:Ranker,MOGONET:Ranker,shap,lime,t_test,randomforest_feature_importance,xgb_feature_importance,rf_permutation_feature_importance,xgb_permutation_feature_importance,lasso,ridge,elasticnet,boruta,mannwhitneyu,svm_rfe,mean_rank,min_rank,median_rank,rra_rank,geom.mean_rank,stuart_rank,mra_rank,mean_weight,max_weight,median_weight,geom.mean_weight,ta_weight
RSPO3,ACTN1,NTN5,ARHGAP35,ARSK,ARHGAP35,ARHGAP35,RPRM,MRPS6,SLC38A2,NTN5,NTN5,ACTN1,ARHGAP35,ARSK,ARHGAP35,NTN5,ARHGAP35,ARHGAP35,ARHGAP35,ARHGAP35,ARHGAP35,ARHGAP35,ARSK,ARHGAP35,ARHGAP35,ARHGAP35
MC4R,PAN3-AS1,ARHGAP35,PLPBP,ARHGAP35,GOLPH3,NCKAP1,ARHGAP35,NTN5,RAP1GAP2,RPRM,PLPBP,ADCY9,ARSK,ARHGAP35,NTN5,SLC38A2,NTN5,NTN5,NTN5,NTN5,NTN5,NTN5,RHOT1,NTN5,RPRM,NTN5
NPY1R,PDS5A,ANKRD11,XPA,MLLT3,FAM53C,TOM1L1,RALBP1,PRICKLE2,NTN5,PLPBP,SLC38A2,AHSA1,MLLT3,MLLT3,CIRBP,ACTN1,SLC38A2,CIRBP,RPRM,CIRBP,PLPBP,RPRM,ST7-AS1,SLC38A2,NTN5,RPRM
PPP6R1,PFKP,MARK4,PPP6R1,OTUD4,MAST2,BRD9,YY1,MC4R,MARK4,C9orf40,RPRM,ANKMY1,CIRBP,OTUD4,XPA,ARSK,RPRM,SLC38A2,PPP6R1,RPRM,PPP6R1,SLC38A2,PRKAB1,RPRM,SLC38A2,SLC38A2
PPID,PGBD5,TBCK,FAM171A2,PPP6R1,CIRBP,PNRC2,DUSP19,NSMCE3,PLPBP,KCNK2,GOLPH3L,ANKRD11,PPP6R1,PPP6R1,PRKAB1,RPRM,PPP6R1,RPRM,CIRBP,PPP6R1,RPRM,PLPBP,CACNA1H,MARK4,PLPBP,PLPBP
TNPO3,PHF23,PLPBP,LINC-PINT,LINC02607,CDC6,MRPS6,PPP6R1,ARHGAP35,RPRM,GOLPH3L,C9orf40,ANKRD52,OTUD4,LINC02607,PPP6R1,MRPS6,PLPBP,MIOS-DT,SLC38A2,SLC38A2,CIRBP,ANKRD11,CHIC2,PLPBP,PRKAB1,ANKRD11
RIC8B,PIK3R2,PRKAB1,LINC01102,ARMCX2,FILIP1L,NSMCE3,LINC02607,XPA,SIMC1,SLC38A2,KCNK2,AP1M1,NTN5,ARMCX2,PNPLA6,ARHGAP35,PRKAB1,PPP6R1,PLPBP,XPA,GOLPH3L,PRKAB1,XPA,PRKAB1,XPA,PRKAB1
ARHGAP35,PIP5K1C,RPRM,MAFG,CIRBP,PRKAB1,CRKL,ARMCX2,MLLT3,GOLPH3L,UBE2Q1,MARK4,APOM,CSNK2A2,CIRBP,MIOS-DT,PLPBP,XPA,PLPBP,XPA,PLPBP,MARK4,MARK4,SLC38A2,ANKRD52,TBCK,XPA
SEPTIN7-DT,PLPBP,GID4,RPRM,GNPNAT1,CHIC2,RSPO3,CIRBP,LINC02607,C9orf40,PRKAB1,TBCK,ARG2,STAU1,GNPNAT1,ANKRD11,NCKAP1,GID4,XPA,ARSK,PRKAB1,LINC02607,TBCK,ZMAT1,ANKRD11,ANKRD11,KCNK2
CBL,PMPCB,PRICKLE2,LOC105376654,CEP19,LOC105376654,YY1,GNPNAT1,PPP6R1,ARHGAP35,MARK4,RAP1GAP2,ARHGAP19-SLIT1,LINC02607,CEP19,SLC38A2,ADCY9,CIRBP,PNPLA6,ANKRD11,ANKRD11,SLC38A2,XPA,MIOS-DT,UNC5A,MARK4,MARK4
CSNK2A2,PNPLA6,XPA,PNRC2,CSNK2A2,NTN5,HEXIM1,CEP19,OTUD4,LINC00467,ANKRD52,ARHGAP35,ARHGAP35,GID4,CSNK2A2,RPRM,GOLPH3,ARSK,TBCK,PRKAB1,ARSK,TBCK,KCNK2,AHSA1,SIMC1,CIRBP,TBCK
TMEM147-AS1,PNRC2,SLC38A2,XPO7,STAU1,ING1,TBCK,CSNK2A2,ASB16-AS1,TBCK,NMT1,SIMC1,ARL10,DUSP19,STAU1,TBCK,RAP1GAP2,OTUD4,PRKAB1,TBCK,MIOS-DT,XPA,GOLPH3L,FAM171A2,TBCK,KCNK2,ANKRD52
RPRM,POLG,NPY1R,SLC38A2,FAM171A2,GID4,XPA,STAU1,PHF23,ANKRD11,KLHL29,ANKRD11,ARMC9,GNPNAT1,FAM171A2,OTUD4,PPP6R1,MIOS-DT,ANKRD11,OTUD4,TBCK,ANKRD11,ANKRD52,MLLT3,GOLPH3L,LINC-PINT,GOLPH3L
INKA2,PPID,NSMCE3,ARSK,RHOT1,SLC38A2,NHSL3,FAM171A2,MAFG,KCNK2,TBCK,ANKRD52,ARMCX2,FAM53C,RHOT1,PFKP,SIMC1,ANKRD11,PFKP,MARK4,PNPLA6,ARSK,MIOS-DT,STAU1,UBE2Q1,PNPLA6,MIOS-DT
CRKL,PPP6R1,KCNK2,PIP5K1C,DUSP19,ST7-AS1,OTUD4,RHOT1,SAMTOR,PRKAB1,ATP1B3,UBE2Q1,ARSK,ASB16-AS1,DUSP19,ARSK,FAM53C,PNPLA6,GOLPH3,LINC02607,OTUD4,KCNK2,PNPLA6,CSNK2A2,KCNK2,UNC5A,PNPLA6
ARG2,PRICKLE2,KHDRBS3,RFX3-DT,PIK3R2,MAFG,LINC-PINT,CMTM4,GNPNAT1,XPA,UNC5A,PRKAB1,ASB16-AS1,KLHL1,PIK3R2,LINC02607,RALBP1,MAFG,ARSK,KCNK2,LINC02607,ANKRD52,SIMC1,MAST2,MIOS-DT,PFKP,SIMC1
ANKMY1,PRKAB1,SNX16,CIRBP,CMTM4,RSPO3,TTBK1,PIK3R2,ARMCX2,MIOS-DT,SIMC1,LINC00467,ATP1B3,CMTM4,CMTM4,GOLPH3,TOM1L1,LINC-PINT,GID4,PNPLA6,GOLPH3,CSNK2A2,CIRBP,GOLPH3L,SAP130,YY1,CIRBP
KIF3C,RABIF,MC4R,RN7SL832P,GID4,SNX27,RPRM,MLLT3,RHOT1,ANKRD52,CRKL,UNC5A,BAG2,FPGS,GID4,UNC5A,MLLT3,SIMC1,OTUD4,MIOS-DT,MARK4,OTUD4,SLC5A3,FGFR1OP2,PNPLA6,GOLPH3L,SLC5A3
MIOS-DT,RALBP1,MRPS6,ZNF662,YARS2,ARSK,POLG,GID4,CEP19,UBE2Q1,ARHGAP35,NMT1,BICD2,ING1,YARS2,KCNK2,AHSA1,KCNK2,KLHL1,GID4,PFKP,PRKAB1,UNC5A,MAFG,XPA,LINC00467,UNC5A
ING1,RANBP9,ZMAT1,NPY1R,ACTN1,PPP6R1,RNF31,YARS2,CSNK2A2,PNPLA6,LINC00467,KLHL29,BLTP2,MIOS-DT,ACTN1,PLPBP,XPA,TBCK,UNC5A,ANKRD52,GID4,GNPNAT1,PPP6R1,CIRBP,FAM53C,C9orf40,PPP6R1
FGFR1OP2,RAP1GAP2,CCT2,CCT2,TMEM147-AS1,STAU1,PLPBP,ACTN1,STAU1,NMT1,RAP1GAP2,MIOS-DT,BRD9,RHOT1,TMEM147-AS1,GID4,PRICKLE2,FAM171A2,KCNK2,GOLPH3,KCNK2,FAM171A2,UBAP1,GOLPH3,MBD1,KLHL1,UBAP1
CELF4,RAPGEF1,BRD9,FAM53C,RABIF,NSMCE3,GPR199P,TMEM147-AS1,PARLP2,CDC6,MBD1,SAP130,BRPF3,C19orf48P,RABIF,YY1,ANKRD11,MARK4,MARK4,SIMC1,UNC5A,SIMC1,CDC6,ADCY9,CIRBP,GOLPH3,CDC6
TOP1,RFX3-DT,C9orf40,FILIP1L,PFKP,LINC02607,PRKAB1,RABIF,DUSP19,KLHL29,ANKRD11,PNPLA6,BSN,CEP19,PFKP,ING1,MAST2,UNC5A,GOLPH3L,FAM171A2,ANKRD52,GID4,UBE2Q1,OTUD4,SLC5A3,KLHL29,UBE2Q1
ACTN1,PARLP2,LINC-PINT,IRF2-DT,NUDT9,LINC01102,NUDT9,PFKP,PIK3R2,UNC5A,SLC5A3,XPA,C19orf48P,ARMCX2,NUDT9,RHOT1,MARK4,GOLPH3,LINC02607,MLLT3,SIMC1,MLLT3,SAP130,ACTN1,LINC-PINT,KIF3C,SAP130
SLC35F3,OTUD4,ARSK,TFE3,PHF23,TOM1L1,UNC5A,KIF3C,CMTM4,SLC5A3,MIOS-DT,SAMTOR,C1orf52,YY1,PHF23,CRKL,YY1,RHOT1,CRKL,GOLPH3L,YY1,C9orf40,MC4R,GID4,CDC6,ZMAT1,MC4R
YARS2,RIC8B,UNC5A,MARK4,ADCY9,MBOAT7,GID4,PNPLA6,YARS2,HUS1,PNPLA6,MBD1,C9orf40,FAM171A2,ADCY9,MARK4,MC4R,LINC02607,ANKRD52,YY1,FAM171A2,STAU1,C9orf40,PPP6R1,RAP1GAP2,GID4,C9orf40
CNOT4,ORAI2,FILIP1L,RNF31,MAFG,XPA,NPY1R,OTUD4,ACTN1,KIF3C,SAP130,CIRBP,CACNA1H,S100B,MAFG,ANKRD52,OTUD4,YY1,SLC5A3,UNC5A,GOLPH3L,RAP1GAP2,ZMAT1,LINC02607,CCDC191,CRKL,ZMAT1
ZNF596,MC4R,SAMTOR,ING1,KLHL1,ORAI2,ZMAT1,PHF23,TMEM147-AS1,NPEPPS,SAMTOR,ATP1B3,CACYBP,ORAI2,KLHL1,FAM171A2,CIRBP,KLHL1,RN7SL832P,NSMCE3,CRKL,RHOT1,LINC-PINT,SNX27,PPP6R1,MC4R,LINC-PINT
USP35,MED21,RNF31,SNX16,ASB16-AS1,ZNF662,KLHL29,NUDT9,C19orf48P,PFKP,FAM220A,SLC5A3,CBL,CHIC2,ASB16-AS1,CDC6,C9orf40,SNX27,LINC-PINT,GNPNAT1,MLLT3,FAM53C,RAP1GAP2,ASB16-AS1,UBAP1,TTBK1,RAP1GAP2
NPEPPS,MIOS-DT,PNRC2,ARMC9,CCT5,AHSA1,PFKP,EFNB2,MON1A,FAM220A,RAPGEF1,CEP76,CCDC127,ADCY9,CCT5,SLC5A3,BRD9,PFKP,MAFG,CSNK2A2,RHOT1,NSMCE3,OTUD4,CBL,SAMTOR,HECA,OTUD4
DRD1,MIRLET7IHG,KLHL29,PRKAB1,TCF20,GPR199P,NTN5,CCT5,PNPLA6,CIRBP,UBAP1,CDC6,CCDC191,PIK3R2,TCF20,ZMAT1,PNPLA6,LOC105376654,HECA,RHOT1,ING1,LINC00467,GID4,LOC105376654,CEP76,RN7SL832P,GID4
HTR1E,MLLT3,CZIB,CHIC2,MAST2,OTUD4,ARSK,TCF20,MIOS-DT,FGFR1OP2,CCDC191,CCDC191,CCT2,AHSA1,MAST2,SIMC1,PNRC2,ZMAT1,CDC6,PFKP,MC4R,DUSP19,LINC02607,SIMC1,YARS2,DRD1,LINC02607
LINC01102,MON1A,CTNND2,RHOT1,ING1,LINC-PINT,CIRBP,MAST2,RALBP1,MSL1,CIRBP,LINC-PINT,CCT5,CCT5,ING1,MC4R,FAM171A2,HUS1,ZMAT1,LINC-PINT,STAU1,KLHL29,CRKL,TTBK1,PFKP,TOM1L1,CRKL
KLHL1,MRPS6,DRD1,ANKRD11,CNOT4,RFX3-DT,PDS5A,ING1,ZMAT1,SAP130,LINC-PINT,KCMF1,CCT8,TMEM147-AS1,CNOT4,GNPNAT1,DUSP19,CRKL,EFNB2,STAU1,ACTN1,CEP19,HUS1,KLHL1,RAPGEF1,TNPO3,HUS1
PNPLA6,MSL1,ORAI2,SIMC1,SNX27,FAM171A2,SLC38A2,CNOT4,ARSK,KCMF1,XPA,UBAP1,CDC6,MAFG,SNX27,LINC-PINT,GOLPH3L,CBL,CSNK2A2,MC4R,GNPNAT1,ARMCX2,GOLPH3,RAPGEF1,FAM220A,TFE3,FAM53C
GPR63,NCAM1-AS2,YY1,LINC00467,GOLPH3,BAG2,MC4R,SNX27,FGFR1OP2,KLHL1,KCMF1,YARS2,CDK8,SNTB2,GOLPH3,MAST2,TBCK,NSMCE3,SIMC1,ACTN1,MAST2,UNC5A,FAM53C,PLPBP,LINC00467,OTUD4,GNPNAT1
CCT2,NCKAP1,TNPO3,MIOS-DT,LRRC57,LRRN2,HECA,GOLPH3,CCT5,ARHGAP19-SLIT1,RANBP9,PFKP,CELF4,NUDT9,LRRC57,NSMCE3,KCNK2,UBAP1,MC4R,ING1,CDC6,CMTM4,GNPNAT1,FILIP1L,RALBP1,CZIB,PFKP
MBOAT7,NHSL3,RN7SL832P,YY1,LOC105376654,RPRM,KIF3C,MAFG,TCF20,LINC-PINT,KHDRBS3,RAPGEF1,CEP19,ACTN1,LOC105376654,RN7SL832P,ANKRD52,MAST2,STAU1,CDC6,LINC-PINT,MIOS-DT,PFKP,NSMCE3,ARHGAP19-SLIT1,PDS5A,GOLPH3
PARLP2,NIM1K,NCKAP1,POLG,EFNB2,RNF31,DRD1,LRRC57,MAST2,GOLPH3,DRD1,FAM220A,CEP76,PHF23,EFNB2,KLHL1,NSMCE3,ANKRD52,KLHL29,MAFG,CSNK2A2,PNPLA6,RAPGEF1,FAM53C,NPEPPS,CEP76,RAPGEF1
DNAJB6,NMT1,ASB16-AS1,TMEM123-DT,SIMC1,SLC5A3,TFE3,SIMC1,ING1,CCDC191,ARHGAP19-SLIT1,KIF3C,CGGBP1,TMEM123-DT,SIMC1,CHIC2,LINC02607,ING1,FAM171A2,BRD9,SLC5A3,FILIP1L,RSPO3,NPY1R,LOC105376654,CHIC2,RSPO3
RALBP1,NPAS2,PDS5A,CDC6,CRKL,PLPBP,USP35,ORAI2,CNOT4,CHIC2,CEP76,ARHGAP19-SLIT1,CHD3,MAST2,CRKL,STAU1,CDC6,MLLT3,ING1,CRKL,ZMAT1,MAFG,LINC00467,CTNND2,GID4,KHDRBS3,LINC00467
SMIM14-DT,NPEPPS,CEP19,BRD9,CBL,UBAP1,LRRN2,CRKL,SNX27,RN7SL832P,ZMAT1,DRD1,CHIC2,SLC5A3,CBL,UBAP1,LINC-PINT,ADCY9,YY1,MAST2,NSMCE3,ACTN1,ING1,KCNK2,DRD1,SIRT4,ING1
LINC02607,NPY1R,TFE3,MBD1,NCAM1-AS2,CCT2,ANKRD11,CBL,LRRC57,TNPO3,MSL1,FGFR1OP2,CIRBP,RABIF,NCAM1-AS2,CSNK2A2,UBAP1,SLC5A3,PARLP2,C9orf40,RN7SL832P,SAMTOR,FAM171A2,ANKRD52,TOM1L1,CNOT4,CHIC2
CACNA1H,NSMCE3,HECA,TNPO3,SNTB2,BRD9,KCNK2,NCAM1-AS2,LOC105376654,KHDRBS3,NHSL3,FOXK2,CLCN6,MC4R,SNTB2,LOC105376654,ARMCX2,RN7SL832P,HUS1,FAM53C,KLHL1,ASB16-AS1,CHIC2,BRD9,RSPO3,SENP3,ARSK
OTUD4,NT5C,PNPLA6,SIRT4,BRPF3,TBCK,INKA2,SNTB2,EFNB2,ZNF596,KLHL1,NPEPPS,CMTM4,FILIP1L,BRPF3,HUS1,FILIP1L,GOLPH3L,C9orf40,DUSP19,MAFG,NMT1,ARSK,ANKRD11,ARSK,TTC23-AS1,MAST2
DYNLL1,NTN5,CELF4,UHMK1,UNC5A,BSN,MARK4,BRPF3,CRKL,SIRT4,TTBK1,FAM171A2,CNOT4,SNX27,UNC5A,GOLPH3L,LINC01102,GNPNAT1,MLLT3,MRPS6,LOC105376654,PFKP,MAST2,ARHGAP35,ZMAT1,SAMTOR,FAM171A2
MON1A,NUDT9,CBL,ADCY9,MON1A,FPGS,SIRT4,UNC5A,NCAM1-AS2,NHSL3,YARS2,GOLPH3,CREB3L4,RAPGEF1,MON1A,BRD9,PRKAB1,C19orf48P,RHOT1,CHIC2,HECA,CDC6,BRD9,UHMK1,FAM171A2,CELF4,BRD9
GOLPH3L,NUS1,CIRBP,BSN,MIOS-DT,RAPGEF1,SENP3,MON1A,SNTB2,ST7-AS1,RFX3-DT,MSL1,CRKL,GOLPH3,MIOS-DT,TMEM147-AS1,CRKL,CDC6,GNPNAT1,LOC105376654,C9orf40,PIK3R2,KLHL1,TBCK,XPO7,MIOS-DT,RHOT1
ARL10,RHOT1,SIRT4,TRIO,PNPLA6,UHMK1,RN7SL832P,LOC105376654,BRPF3,CEP76,GNPNAT1,CZIB,CSNK2A2,MRPS6,PNPLA6,MLLT3,ASB16-AS1,TNPO3,UBAP1,KLHL1,MRPS6,MC4R,RHOT1,UBAP1,NCKAP1,SIMC1,RN7SL832P
TRIO,RN7SL832P,CNOT4,S100B,PARLP2,MIOS-DT,FILIP1L,ADCY9,UNC5A,IRF2-DT,BSN,TTBK1,CTNND2,IRF2-DT,PARLP2,SAP130,MAFG,CHIC2,CTNND2,SLC5A3,ADCY9,CHIC2,RN7SL832P,HUS1,NMT1,SEPTIN7-DT,HECA
SAP130,ADCY9,HEXIM1,HECA,ORAI2,KLHL1,GOLPH3L,MIOS-DT,PFKP,CREB3L4,HUS1,ZMAT1,CZIB,CBL,ORAI2,CNOT4,UBE2Q1,RAPGEF1,MAST2,CEP19,PARLP2,NPY1R,HECA,YY1,RFX3-DT,ANKRD52,YY1
BAG2,TMEM123-DT,MLLT3,NSMCE3,C19orf48P,ADCY9,LRRC57,H2AZ1,RABIF,INKA2,RHOT1,RANBP9,DCST2,NCAM1-AS2,C19orf48P,CCDC191,CSNK2A2,CSNK2A2,AHSA1,ADCY9,CHIC2,ING1,YY1,NTN5,MC4R,CDC6,TMEM147-AS1
CEP19,TMEM243,TOM1L1,CSNK2A2,NTN5,KCNK2,PARLP2,ANKRD52,AHSA1,PGBD5,FAM53C,KHDRBS3,DNAJB6,CNOT4,NTN5,PARLP2,RSPO3,LRRN2,TCF20,UBAP1,UBAP1,LINC-PINT,TMEM147-AS1,ORAI2,C9orf40,SLC5A3,NSMCE3
CLCN6,TNPO3,CEP76,LRRN2,CCDC191,YY1,KLHL1,CCT2,NUDT9,CDK8,HECA,HUS1,DNAJC27-AS1,DNAJB6,CCDC191,MAFG,CHIC2,BRD9,NSMCE3,FILIP1L,HUS1,MAST2,NSMCE3,PNPLA6,BRD9,SAP130,SNX27
PMPCB,TOM1L1,GPR63,CCDC127,SRRM2-AS1,PFKP,SNTB2,C19orf48P,SAP130,TMEM123-DT,FAM171A2,TMEM147-AS1,DRD1,HUS1,SRRM2-AS1,CCT2,GID4,CCT2,CNOT4,ASB16-AS1,BRD9,TMEM147-AS1,MBD1,RSPO3,GOLPH3,BRD9,MBD1
ARMCX2,TOP1,PPP6R1,GOLPH3,YY1,ZMAT1,PNPLA6,NTN5,NPY1R,CZIB,CZIB,KLHL1,DUSP19,LOC105376654,YY1,SNX27,STAU1,CEP19,CBL,ZMAT1,DUSP19,ORAI2,SNX27,MC4R,MSL1,RSPO3,SAMTOR
TFE3,TRAPPC6A,RSPO3,AHSA1,HUS1,TMEM243,CELF4,CCDC191,H2AZ1,ARG2,TMEM147-AS1,SENP3,DYNLL1,PFKP,HUS1,ACTN1,GNPNAT1,LINC00467,SAP130,LINC00467,RALBP1,YY1,SAMTOR,SNTB2,RN7SL832P,NSMCE3,TTBK1
NIM1K,TRIM45,GOLPH3,BICD2,CGGBP1,SNX16,TNPO3,SRRM2-AS1,HUS1,MBD1,H2AZ1,CRKL,EFNB2,PARLP2,CGGBP1,TNPO3,CEP19,SIRT4,TMEM147-AS1,ARMCX2,EFNB2,KLHL1,TTBK1,MARK4,ZNF662,ARSK,KLHL1
ST7-AS1,TRIO,LRRN2,SEPTIN7-DT,UBAP1,CBL,EFNB2,HUS1,CGGBP1,CCT2,ACTN1,FBXO24,ELAVL1,TCF20,UBAP1,HECA,LOC105376654,SNTB2,USP35,KLHL29,CEP19,KCMF1,CZIB,C9orf40,PIP5K1C,UBE2Q1,CCT2
MLLT3,TTBK1,ARG2,MAST2,LINC03072,MARK4,CBL,CGGBP1,UBAP1,PNRC2,ANKMY1,NSMCE3,FAM171A2,PRKAB1,LINC03072,YARS2,CACNA1H,SNX16,RAP1GAP2,RN7SL832P,TMEM147-AS1,YARS2,CCT2,KLHL29,CZIB,RNF31,CTNND2
