MORE:Ranker,MOGONET:Ranker,shap,lime,t_test,randomforest_feature_importance,xgb_feature_importance,rf_permutation_feature_importance,xgb_permutation_feature_importance,lasso,ridge,elasticnet,boruta,mannwhitneyu,svm_rfe,mean_rank,min_rank,median_rank,rra_rank,geom.mean_rank,stuart_rank,mra_rank,mean_weight,max_weight,median_weight,geom.mean_weight,ta_weight
"glycosyl ceramide (d18:2/25:1, d18:1/25:2)","1,2-dilinoleoyl-GPC (18:2/18:2)",1-linoleoyl-GPC (18:2),stachydrine,trigonelline (N'-methylnicotinate),stachydrine,stachydrine,E7EVA0,N-acetyl-3-methylhistidine*,TBCK,N-acetyl-3-methylhistidine*,stachydrine,"1,2-dilinoleoyl-GPC (18:2/18:2)",stachydrine,trigonelline (N'-methylnicotinate),stachydrine,1-linoleoyl-GPC (18:2),stachydrine,stachydrine,stachydrine,stachydrine,stachydrine,stachydrine,trigonelline (N'-methylnicotinate),stachydrine,stachydrine,stachydrine
pyruvate,SAMTOR,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,stachydrine,N-acetyl-3-methylhistidine*,NTN5,hydroxyproline,1-linoleoyl-GPC (18:2),trimethylamine N-oxide,2-methylserine,trigonelline (N'-methylnicotinate),"1,2-dilinoleoyl-GPE (18:2/18:2)*",N-acetyl-3-methylhistidine*,stachydrine,1-linoleoyl-GPC (18:2),N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,1-palmitoleoyl-GPC* (16:1)*,TBCK,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*
BRD9,SCG1,SNTB2,RAPGEF1,1-methyl-5-imidazoleacetate,trigonelline (N'-methylnicotinate),TRAPPC6A,2'-deoxyinosine,salicylate,stachydrine,1-methyl-5-imidazolelactate,TBCK,"1,2-dipalmitoyl-GPG (16:0/16:0)",ARHGAP19-SLIT1,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,stachydrine,trigonelline (N'-methylnicotinate),1-methyl-5-imidazolelactate,1-linoleoyl-GPC (18:2),1-linoleoyl-GPC (18:2),trigonelline (N'-methylnicotinate),TBCK,"1,5-anhydroglucitol (1,5-AG)",N-acetyl-3-methylhistidine*,1-methyl-5-imidazolelactate,TBCK
B5MBY2,SCG2,stachydrine,CDK8,N-acetyl-3-methylhistidine*,MBD1,SNTB2,3-amino-2-piperidone,X - 23639,H0Y858,thioproline,N-acetyl-3-methylhistidine*,"1,5-anhydroglucitol (1,5-AG)",trigonelline (N'-methylnicotinate),1-methyl-5-imidazoleacetate,trigonelline (N'-methylnicotinate),"1,2-dilinoleoyl-GPC (18:2/18:2)",TBCK,1-linoleoyl-GPC (18:2),trigonelline (N'-methylnicotinate),1-methyl-5-imidazolelactate,1-methyl-5-imidazolelactate,trigonelline (N'-methylnicotinate),3-amino-2-piperidone,1-linoleoyl-GPC (18:2),1-linoleoyl-GPC (18:2),trigonelline (N'-methylnicotinate)
RHOT1,SCN2A,1-methyl-5-imidazolelactate,1-methyl-5-imidazolelactate,TRAPPC6A,1-methyl-5-imidazoleacetate,N-acetyl-3-methylhistidine*,thiamin (Vitamin B1),12-HHTrE,trigonelline (N'-methylnicotinate),1-methyl-5-imidazoleacetate,H0Y858,1-arachidonoyl-GPE (20:4n6)*,ANKRD11,trimethylamine N-oxide,"1,2-dilinoleoyl-GPC (18:2/18:2)",trigonelline (N'-methylnicotinate),1-methyl-5-imidazolelactate,trigonelline (N'-methylnicotinate),1-methyl-5-imidazolelactate,trigonelline (N'-methylnicotinate),1-methyl-5-imidazoleacetate,1-methyl-5-imidazolelactate,thiamin (Vitamin B1),1-methyl-5-imidazolelactate,ANKRD11,1-linoleoyl-GPC (18:2)
PRIO,SCN3A,trimethylamine N-oxide,ADCY9,C19orf48P,TBCK,ANKRD11,X - 25109,X - 25244,N-acetyl-3-methylhistidine*,2'-deoxycytidine,1-methyl-5-imidazolelactate,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,TBCK,1-methyl-5-imidazolelactate,ANKRD11,E7EVA0,1-methyl-5-imidazoleacetate,TBCK,TBCK,TBCK,1-linoleoyl-GPC (18:2),1-linoleoyl-GPC (18:2),X - 25109,trigonelline (N'-methylnicotinate),PRKAB1,1-methyl-5-imidazolelactate
RN7SL832P,SENP3,CHD3,GFAP,TBCK,homocitrulline,MAST2,N-methylpipecolate,spermidine,arabitol/xylitol,X - 25244,arabitol/xylitol,1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,MAST2,1-linoleoyl-GPC (18:2),arabitol/xylitol,TBCK,1-linoleoyl-GPC (18:2),1-methyl-5-imidazoleacetate,1-methyl-5-imidazoleacetate,1-methyl-5-imidazoleacetate,TBCK,trimethylamine N-oxide,N-methylpipecolate,X - 25244,trimethylamine N-oxide,trimethylamine N-oxide
3-amino-2-piperidone,SEPT5,ANKRD11,trigonelline (N'-methylnicotinate),FPGS,TRAPPC6A,CHD3,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),thioproline,LIPA4,TBCK,LIPA4,1-linoleoyl-GPC (18:2),RAPGEF1,X - 23639,trimethylamine N-oxide,2-methylserine,trimethylamine N-oxide,trimethylamine N-oxide,trimethylamine N-oxide,trimethylamine N-oxide,trimethylamine N-oxide,LIPA4,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),2-methylserine,CHD3,LIPA4
MIOS-DT,SEPTIN7-DT,CBL,TBCK,CIRBP,ARHGAP35,methionine sulfone,"5,6-dihydrouridine",arabitol/xylitol,1-methyl-5-imidazolelactate,LIPA4,trimethylamine N-oxide,1-linoleoyl-GPE (18:2)*,ARHGAP35,12-HHTrE,1-methyl-5-imidazolelactate,NTN5,ANKRD11,"1,2-dilinoleoyl-GPC (18:2/18:2)",ANKRD11,"1,2-dilinoleoyl-GPC (18:2/18:2)",TRAPPC6A,1-methyl-5-imidazoleacetate,"5,6-dihydrouridine",LIPA4,LYAG,1-methyl-5-imidazoleacetate
HUS1,SH3G1,ARHGAP19-SLIT1,TRAPPC6A,trimethylamine N-oxide,DUSP19,1-linoleoyl-GPC (18:2),palmitoyl dihydrosphingomyelin (d18:0/16:0)*,homocitrulline,E7EVA0,ZMAT1,2-methylserine,1-linoleoyl-GPG (18:2)*,1-methyl-5-imidazoleacetate,X - 25244,TBCK,hydroxyproline,ANKRD52,arabitol/xylitol,"1,2-dilinoleoyl-GPC (18:2/18:2)",ANKRD11,ANKRD11,2-methylserine,glycylvaline,arabitol/xylitol,PNPLA6,SNTB2
X - 22771,SH3G3,NTN5,myristate (14:0),MAST2,CDK8,ARHGAP19-SLIT1,"N,N,N-trimethyl-alanylproline betaine (TMAP)","1,2-dilinoleoyl-GPC (18:2/18:2)",ANKRD52,STAT3,1-methyl-5-imidazoleacetate,1-methyl-5-imidazoleacetate,1-linoleoyl-GPC (18:2),spermidine,2-methylserine,trimethylamine N-oxide,E9PIM6,2-methylserine,2-methylserine,arabitol/xylitol,2-methylserine,arabitol/xylitol,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,thioproline,ARHGAP19-SLIT1,2-methylserine
NHSL3,SIMC1,MAFG,1-methyl-5-imidazoleacetate,IRF2-DT,SNTB2,1-methyl-5-imidazolelactate,3-methylhistidine,stachydrine,MC4R,trigonelline (N'-methylnicotinate),salicylate,1-methyl-5-imidazolelactate,FPGS,thioproline,1-methyl-5-imidazoleacetate,2'-deoxyinosine,LYAG,ANKRD11,arabitol/xylitol,2-methylserine,ARHGAP19-SLIT1,ANKRD52,3-methylhistidine,1-methyl-5-imidazoleacetate,EPHA4,arabitol/xylitol
A0A0C4DGH3,SIRT4,CATD,S100B,1-methyl-5-imidazolelactate,TTC23-AS1,HUS1,"1,2-dilinoleoyl-GPE (18:2/18:2)*",1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),2-methylserine,stachydrine,1-linoleoyl-GPC (18:2),1-methyladenosine,trimethylamine N-oxide,arabitol/xylitol,12-HHTrE,salicylate,CHD3,E9PIM6,TRAPPC6A,12-HHTrE,MAST2,"1,2-dilinoleoyl-GPC (18:2/18:2)","1,2-dilinoleoyl-GPE (18:2/18:2)*",H0Y858,TBCK,12-HHTrE
2'-deoxycytidine,SLC35F3,MAST2,MOES,E9PIM6,GNA13,FKBP5,1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,2-methylserine,"1,2-dilinoleoyl-GPC (18:2/18:2)",L1CAM,ANKRD52,1-methylhistamine,ST7-AS1,homocitrulline,LYAG,1-methyl-5-imidazoleacetate,arabitol/xylitol,CHD3,CHD3,CHD3,ANKRD52,TRAPPC6A,1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,GFAP,trigonelline (N'-methylnicotinate),ANKRD52
FOXK2,SLC38A2,methionine sulfone,phenol sulfate,ST7-AS1,1-methyl-5-imidazolelactate,MAFG,stachydrine,fructosyllysine,1-linoleoyl-GPC (18:2),spermidine,behenoyl dihydrosphingomyelin (d18:0/22:0)*,1-methylhistidine,ANKRD52,salicylate,CHD3,TRAPPC6A,"1,2-dilinoleoyl-GPC (18:2/18:2)",12-HHTrE,12-HHTrE,ANKRD52,"1,2-dilinoleoyl-GPC (18:2/18:2)",ANKRD11,N-acetyl-1-methylhistidine*,spermidine,LIPA4,"1,2-dilinoleoyl-GPC (18:2/18:2)"
MLC1,SLC5A3,TRAPPC6A,GNA13,APOM,TRIO,CAN2,trimethylamine N-oxide,"1,5-anhydroglucitol (1,5-AG)",behenoyl dihydrosphingomyelin (d18:0/22:0)*,PVRL1,"1,2-dilinoleoyl-GPC (18:2/18:2)",1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*,CHD3,"1,2-dilinoleoyl-GPC (18:2/18:2)",spermidine,RAPGEF1,2-methylserine,ANKRD52,ANKRD52,LYAG,SNTB2,H0Y858,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,X - 25979,ANKRD52,CHD3
CIRBP_y,SMIM14-DT,HUS1,SNTB2,RAPGEF1,CHD3,PNPLA6,1-linoleoyl-GPC (18:2),hydroxyproline,E9PIM6,X - 25979,STAT3,1-oleoyl-2-arachidonoyl-GPI (18:1/20:4)*,CIRBP,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),behenoyl dihydrosphingomyelin (d18:0/22:0)*,SNTB2,SNTB2,LYAG,E9PIM6,E9PIM6,CHD3,SNTB2,"N,N,N-trimethyl-alanylproline betaine (TMAP)",L1CAM,TRAPPC6A,MC4R
RAP1GAP2,SAP130,CAN2,IRF2-DT,CHD3,C19orf48P,CBL,glycylvaline,betaine,MOC2B,N-carbamoylglutamate,E9PIM6,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,1-methyl-5-imidazolelactate,2-methylserine,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),1-methyl-5-imidazolelactate,TRAPPC6A,TRAPPC6A,SNTB2,TRAPPC6A,E7EVA0,MC4R,fructosyllysine,trimethylamine N-oxide,SNTB2,behenoyl dihydrosphingomyelin (d18:0/22:0)*
ZNF662,SAHH2,CTBP1,TTC23-AS1,LYAG,ADCY9,IQGA1,1-oleoyl-2-arachidonoyl-GPI (18:1/20:4)*,1-methyl-5-imidazoleacetate,PRKAB1,N1-Methyl-2-pyridone-5-carboxamide,E7EVA0,1-oleoyl-GPC (18:1),KIF21B,fructosyllysine,E9PIM6,ARHGAP19-SLIT1,PRKAB1,SNTB2,LYAG,SNTB2,salicylate,NTN5,1-methylhistidine,N-carbamoylglutamate,NTN5,ANKRD11
ACTN1_y,SNTB2,IQGA1,TMEM147-AS1,ANKRD11,CIRBP,CATD,gamma-aminobutyrate (GABA),1-palmitoleoyl-GPC* (16:1)*,arachidoyl ethanolamide (20:0)*,salicylate,2'-deoxycytidine,1-palmitoleoyl-GPC* (16:1)*,MAFG,methionine sulfone,ANKRD52,CDK8,12-HHTrE,spermidine,ARHGAP19-SLIT1,spermidine,LIPA4,behenoyl dihydrosphingomyelin (d18:0/22:0)*,betaine,N1-Methyl-2-pyridone-5-carboxamide,"1,2-dilinoleoyl-GPC (18:2/18:2)",E7EVA0
CPLX2,S6A17,FKBP5,X - 23085,NCAM1-AS2,1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,trimethylamine N-oxide,N6-carboxymethyllysine,N-carbamoylglutamate,tetradecadienoate (14:2)*,"1,2-dilinoleoyl-GPC (18:2/18:2)",MOC2B,1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*,ADCY9,"1,5-anhydroglucitol (1,5-AG)",CACNA1H,X - 23639,ARHGAP19-SLIT1,PRKAB1,NTN5,NTN5,ADCY9,salicylate,dihydroxyacetone phosphate (DHAP),salicylate,arabitol/xylitol,salicylate
