MORE:Ranker,MOGONET:Ranker,shap,lime,t_test,randomforest_feature_importance,xgb_feature_importance,rf_permutation_feature_importance,xgb_permutation_feature_importance,lasso,ridge,elasticnet,boruta,mannwhitneyu,svm_rfe,mean_rank,min_rank,median_rank,rra_rank,geom.mean_rank,stuart_rank,mra_rank,mean_weight,max_weight,median_weight,geom.mean_weight,ta_weight
beta-citrylglutamate,"1,2-dilinoleoyl-GPC (18:2/18:2)",N-acetyl-3-methylhistidine*,1-linoleoyl-GPC (18:2),trigonelline (N'-methylnicotinate),1-methyl-5-imidazoleacetate,stachydrine,stachydrine,N-acetyl-3-methylhistidine*,stachydrine,2'-deoxycytidine,stachydrine,"1,2-dilinoleoyl-GPC (18:2/18:2)",stachydrine,trigonelline (N'-methylnicotinate),stachydrine,N-acetyl-3-methylhistidine*,stachydrine,stachydrine,stachydrine,stachydrine,stachydrine,stachydrine,trigonelline (N'-methylnicotinate),stachydrine,stachydrine,stachydrine
TMEM243,TTLL3,1-linoleoyl-GPC (18:2),N-acetyl-3-methylhistidine*,stachydrine,N-acetyl-3-methylhistidine*,NTN5,citrulline,stachydrine,PRKAB1,salicylate,N-acetyl-3-methylhistidine*,"1,2-dilinoleoyl-GPE (18:2/18:2)*",N-acetyl-3-methylhistidine*,stachydrine,1-linoleoyl-GPC (18:2),1-linoleoyl-GPC (18:2),N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,dihomo-linoleoylcarnitine (C20:2)*,N-acetyl-3-methylhistidine*,1-linoleoyl-GPC (18:2),N-acetyl-3-methylhistidine*
C9orf40,X - 21891,stachydrine,trigonelline (N'-methylnicotinate),N-acetyl-3-methylhistidine*,trigonelline (N'-methylnicotinate),TRAPPC6A,thioproline,ARHGAP19-SLIT1,NTN5,N-acetyl-3-methylhistidine*,TBCK,"1,2-dipalmitoyl-GPG (16:0/16:0)",ARHGAP19-SLIT1,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,stachydrine,1-methyl-5-imidazolelactate,1-linoleoyl-GPC (18:2),1-linoleoyl-GPC (18:2),1-linoleoyl-GPC (18:2),trigonelline (N'-methylnicotinate),1-linoleoyl-GPC (18:2),tetracosadienoylcarnitine (C24:2)*,1-linoleoyl-GPC (18:2),N-acetyl-3-methylhistidine*,1-linoleoyl-GPC (18:2)
LRRC57,X - 16972,CHD3,1-methyl-5-imidazoleacetate,1-methyl-5-imidazoleacetate,SNTB2,SNTB2,X - 23639,1-linoleoyl-GPC (18:2),trimethylamine N-oxide,1-methyl-5-imidazolelactate,1-methyl-5-imidazolelactate,"1,5-anhydroglucitol (1,5-AG)",trigonelline (N'-methylnicotinate),1-methyl-5-imidazoleacetate,trimethylamine N-oxide,"1,2-dilinoleoyl-GPC (18:2/18:2)",1-linoleoyl-GPC (18:2),1-methyl-5-imidazolelactate,1-methyl-5-imidazolelactate,1-methyl-5-imidazolelactate,1-methyl-5-imidazoleacetate,1-methyl-5-imidazolelactate,PRKAB1,NTN5,1-methyl-5-imidazolelactate,TBCK
CACNA1H,X - 15161,SNTB2,stachydrine,TRAPPC6A,1-methyl-5-imidazolelactate,N-acetyl-3-methylhistidine*,ANKRD11,CHD3,1-linoleoyl-GPC (18:2),X - 25244,arabitol/xylitol,1-arachidonoyl-GPE (20:4n6)*,ANKRD11,trimethylamine N-oxide,1-methyl-5-imidazolelactate,1-methyl-5-imidazoleacetate,trimethylamine N-oxide,trimethylamine N-oxide,trigonelline (N'-methylnicotinate),trimethylamine N-oxide,1-linoleoyl-GPC (18:2),TBCK,FPGS,TBCK,ARHGAP19-SLIT1,1-methyl-5-imidazolelactate
CREB3L4,X - 14837,1-methyl-5-imidazolelactate,X - 23639,C19orf48P,stachydrine,CHD3,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,1-methyl-5-imidazolelactate,1-methyl-5-imidazolelactate,thioproline,behenoyl dihydrosphingomyelin (d18:0/22:0)*,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,MAST2,1-methyl-5-imidazolelactate,trigonelline (N'-methylnicotinate),trigonelline (N'-methylnicotinate),1-methyl-5-imidazoleacetate,TBCK,trimethylamine N-oxide,trigonelline (N'-methylnicotinate),1-methyl-5-imidazolelactate,trigonelline (N'-methylnicotinate),KIF21B,1-methyl-5-imidazolelactate,CHD3,trigonelline (N'-methylnicotinate)
heme,X - 10457,ARHGAP19-SLIT1,TBCK,TBCK,1-linoleoyl-GPC (18:2),MAST2,HUS1,trimethylamine N-oxide,N-acetyl-3-methylhistidine*,spermidine,trigonelline (N'-methylnicotinate),1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,RAPGEF1,1-linoleoyl-GPC (18:2),ARHGAP19-SLIT1,2'-deoxycytidine,trigonelline (N'-methylnicotinate),ARHGAP19-SLIT1,1-methyl-5-imidazoleacetate,TBCK,trimethylamine N-oxide,NTN5,BSN,1-methyl-5-imidazoleacetate,trimethylamine N-oxide,trimethylamine N-oxide
X - 23085,USP35,trimethylamine N-oxide,SNTB2,FPGS,X - 23639,1-linoleoyl-GPC (18:2),TBCK,spermidine,TBCK,X - 25979,NTN5,1-linoleoyl-GPC (18:2),TBCK,X - 23639,TRAPPC6A,salicylate,ARHGAP19-SLIT1,1-methyl-5-imidazoleacetate,ARHGAP19-SLIT1,1-methyl-5-imidazoleacetate,SNTB2,trimethylamine N-oxide,USP35,trigonelline (N'-methylnicotinate),NTN5,12-HHTrE
"2,4-dihydroxybutyrate",UNC5A,MAST2,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,CIRBP,ARHGAP19-SLIT1,1-methyl-5-imidazolelactate,TRAPPC6A,X - 25244,arabitol/xylitol,X - 23038,PRKAB1,1-linoleoyl-GPE (18:2)*,ARHGAP35,12-HHTrE,TBCK,citrulline,TBCK,trigonelline (N'-methylnicotinate),TBCK,ARHGAP19-SLIT1,TBCK,ARHGAP19-SLIT1,methionine sulfone,ARHGAP19-SLIT1,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,1-methyl-5-imidazoleacetate
TNPO3,UHMK1,MAFG,trimethylamine N-oxide,trimethylamine N-oxide,C19orf48P,HUS1,1-linoleoyl-GPC (18:2),12-HHTrE,ANKRD52,stachydrine,1-linoleoyl-GPC (18:2),1-linoleoyl-GPG (18:2)*,1-linoleoyl-GPC (18:2),X - 25244,1-methyl-5-imidazoleacetate,PRKAB1,CHD3,TRAPPC6A,TRAPPC6A,TRAPPC6A,ARHGAP19-SLIT1,1-methyl-5-imidazoleacetate,2-methylserine,TRAPPC6A,TBCK,ANKRD11
