MORE:Ranker,MOGONET:Ranker,shap,lime,t_test,randomforest_feature_importance,xgb_feature_importance,rf_permutation_feature_importance,xgb_permutation_feature_importance,lasso,ridge,elasticnet,boruta,mannwhitneyu,svm_rfe,mean_rank,min_rank,median_rank,rra_rank,geom.mean_rank,stuart_rank,mra_rank,mean_weight,max_weight,median_weight,geom.mean_weight,ta_weight
oxalate (ethanedioate),"1,2-dilinoleoyl-GPC (18:2/18:2)",1-linoleoyl-GPC (18:2),1-methyl-5-imidazolelactate,trigonelline (N'-methylnicotinate),stachydrine,stachydrine,N-acetyl-3-methylhistidine*,stachydrine,1-methyl-5-imidazolelactate,1-methyl-5-imidazolelactate,stachydrine,"1,2-dilinoleoyl-GPC (18:2/18:2)",stachydrine,trigonelline (N'-methylnicotinate),1-methyl-5-imidazolelactate,1-linoleoyl-GPC (18:2),stachydrine,1-methyl-5-imidazolelactate,stachydrine,stachydrine,stachydrine,stachydrine,trigonelline (N'-methylnicotinate),stachydrine,stachydrine,stachydrine
sebacate (C10-DC),THTR,stachydrine,1-methyl-5-imidazoleacetate,stachydrine,1-methyl-5-imidazoleacetate,12-HHTrE,"N,N,N-trimethyl-alanylproline betaine (TMAP)",CATD,trigonelline (N'-methylnicotinate),2-methylserine,trigonelline (N'-methylnicotinate),"1,2-dilinoleoyl-GPE (18:2/18:2)*",N-acetyl-3-methylhistidine*,stachydrine,N-acetyl-3-methylhistidine*,stachydrine,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,1-methyl-5-imidazolelactate,1-methyl-5-imidazolelactate,trigonelline (N'-methylnicotinate),N-acetyl-3-methylhistidine*,1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,1-methyl-5-imidazolelactate,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*
1-palmitoleoyl-GPC* (16:1)*,WASF1,N-acetyl-3-methylhistidine*,stachydrine,1-methyl-5-imidazoleacetate,trigonelline (N'-methylnicotinate),N-acetyl-3-methylhistidine*,X - 25948,1-linoleoyl-GPC (18:2),H0Y858,1-methyl-5-imidazoleacetate,1-methyl-5-imidazolelactate,"1,2-dipalmitoyl-GPG (16:0/16:0)",trigonelline (N'-methylnicotinate),N-acetyl-3-methylhistidine*,stachydrine,N-acetyl-3-methylhistidine*,trigonelline (N'-methylnicotinate),stachydrine,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,1-methyl-5-imidazolelactate,N6-carboxymethyllysine,trigonelline (N'-methylnicotinate),1-methyl-5-imidazolelactate,1-methyl-5-imidazolelactate
TBB4B,VGLU1,1-methyl-5-imidazolelactate,PPT1,N-acetyl-3-methylhistidine*,1-linoleoyl-GPC (18:2),gamma-aminobutyrate (GABA),1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,N-acetyl-3-methylhistidine*,stachydrine,trigonelline (N'-methylnicotinate),H0Y858,"1,5-anhydroglucitol (1,5-AG)",1-methyl-5-imidazoleacetate,1-methyl-5-imidazoleacetate,1-linoleoyl-GPC (18:2),1-methyl-5-imidazolelactate,1-methyl-5-imidazolelactate,1-linoleoyl-GPC (18:2),1-linoleoyl-GPC (18:2),1-linoleoyl-GPC (18:2),1-methyl-5-imidazoleacetate,1-linoleoyl-GPC (18:2),E9PIM6,N-acetyl-3-methylhistidine*,1-linoleoyl-GPC (18:2),trigonelline (N'-methylnicotinate)
arachidoyl ethanolamide (20:0)*,VATH,trimethylamine N-oxide,trigonelline (N'-methylnicotinate),trimethylamine N-oxide,1-methyl-5-imidazolelactate,1-oleoyl-2-arachidonoyl-GPI (18:1/20:4)*,stachydrine,1-methyl-5-imidazolelactate,arabitol/xylitol,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,1-arachidonoyl-GPE (20:4n6)*,1-linoleoyl-GPC (18:2),trimethylamine N-oxide,trimethylamine N-oxide,"1,2-dilinoleoyl-GPC (18:2/18:2)",1-methyl-5-imidazoleacetate,1-methyl-5-imidazoleacetate,1-methyl-5-imidazoleacetate,1-methyl-5-imidazoleacetate,1-methyl-5-imidazolelactate,trigonelline (N'-methylnicotinate),X - 25244,1-methyl-5-imidazoleacetate,trigonelline (N'-methylnicotinate),1-linoleoyl-GPC (18:2)
1-arachidonoyl-GPE (20:4n6)*,VATB2,LYAG,N-acetyl-3-methylhistidine*,1-methyl-5-imidazolelactate,X - 23639,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,1-methyl-5-imidazoleacetate,trimethylamine N-oxide,trimethylamine N-oxide,thioproline,arabitol/xylitol,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,trimethylamine N-oxide,1-methyl-5-imidazolelactate,1-methyl-5-imidazoleacetate,trigonelline (N'-methylnicotinate),1-linoleoyl-GPC (18:2),trigonelline (N'-methylnicotinate),trigonelline (N'-methylnicotinate),trigonelline (N'-methylnicotinate),1-linoleoyl-GPC (18:2),1-methyl-5-imidazoleacetate,12-HHTrE,1-linoleoyl-GPC (18:2),trimethylamine N-oxide,1-methyl-5-imidazoleacetate
SYNPO,VA0D1,CATD,CAN2,E9PIM6,N-acetyl-3-methylhistidine*,1-linoleoyl-GPC (18:2),trimethylamine N-oxide,12-HHTrE,N-acetyl-3-methylhistidine*,X - 25244,1-linoleoyl-GPC (18:2),1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,1-methyl-5-imidazolelactate,1-linoleoyl-GPC (18:2),2-methylserine,12-HHTrE,trimethylamine N-oxide,2-methylserine,trimethylamine N-oxide,trimethylamine N-oxide,trimethylamine N-oxide,trimethylamine N-oxide,1-linoleoyl-GPC (18:2),H0Y858,H0Y858,trimethylamine N-oxide
H2AZ,V9PBN7,CYTC,SCG2,LYAG,E9PIM6,trimethylamine N-oxide,1-methyl-5-imidazolelactate,arabitol/xylitol,1-linoleoyl-GPC (18:2),LIPA4,2-methylserine,1-linoleoyl-GPC (18:2),LYAG,X - 23639,trigonelline (N'-methylnicotinate),2-methylserine,12-HHTrE,trimethylamine N-oxide,2-methylserine,2-methylserine,arabitol/xylitol,H0Y858,salicylate,salicylate,2-methylserine,H0Y858
behenoyl dihydrosphingomyelin (d18:0/22:0)*,UBP14,12-HHTrE,RTN1,1-linoleoyl-GPC (18:2),beta-citrylglutamate,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,1-linoleoyl-GPC (18:2),thioproline,E9PIM6,2'-deoxycytidine,1-methyl-5-imidazoleacetate,1-linoleoyl-GPE (18:2)*,E9PIM6,12-HHTrE,salicylate,CATD,arabitol/xylitol,salicylate,"1,2-dilinoleoyl-GPC (18:2/18:2)","1,2-dilinoleoyl-GPC (18:2/18:2)",E9PIM6,2-methylserine,"1,2-dilinoleoyl-GPC (18:2/18:2)",2-methylserine,PPT1,E9PIM6
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,U3KQG5,gamma-aminobutyrate (GABA),ACTN1,EPHA4,LYAG,1-methyl-5-imidazolelactate,12-HHTrE,spermidine,2-methylserine,stachydrine,salicylate,1-linoleoyl-GPG (18:2)*,arabitol/xylitol,X - 25244,"1,2-dilinoleoyl-GPC (18:2/18:2)",1-methyl-5-imidazoleacetate,"1,2-dilinoleoyl-GPC (18:2/18:2)","1,2-dilinoleoyl-GPC (18:2/18:2)",arabitol/xylitol,salicylate,LYAG,arabitol/xylitol,1-methyl-5-imidazolelactate,trimethylamine N-oxide,salicylate,2-methylserine
