MORE:Ranker,MOGONET:Ranker,shap,lime,t_test,randomforest_feature_importance,xgb_feature_importance,rf_permutation_feature_importance,xgb_permutation_feature_importance,lasso,ridge,elasticnet,boruta,mannwhitneyu,svm_rfe,mean_rank,min_rank,median_rank,rra_rank,geom.mean_rank,stuart_rank,mra_rank,mean_weight,max_weight,median_weight,geom.mean_weight,ta_weight
N-methylpipecolate,"1,2-dilinoleoyl-GPC (18:2/18:2)",1-linoleoyl-GPC (18:2),1-linoleoyl-GPC (18:2),trigonelline (N'-methylnicotinate),stachydrine,N-acetyl-3-methylhistidine*,guanosine 2'-monophosphate (2'-GMP)*,1-methyl-5-imidazolelactate,stachydrine,salicylate,stachydrine,"1,2-dilinoleoyl-GPC (18:2/18:2)",stachydrine,trigonelline (N'-methylnicotinate),N-acetyl-3-methylhistidine*,1-linoleoyl-GPC (18:2),stachydrine,N-acetyl-3-methylhistidine*,stachydrine,N-acetyl-3-methylhistidine*,stachydrine,N-acetyl-3-methylhistidine*,trigonelline (N'-methylnicotinate),stachydrine,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*
guanosine 3'-monophosphate (3'-GMP),glycerophosphorylcholine (GPC),stachydrine,stachydrine,stachydrine,N-acetyl-3-methylhistidine*,stachydrine,1-methyl-5-imidazoleacetate,N-acetyl-3-methylhistidine*,1-linoleoyl-GPC (18:2),1-methyl-5-imidazolelactate,1-linoleoyl-GPC (18:2),"1,2-dilinoleoyl-GPE (18:2/18:2)*",N-acetyl-3-methylhistidine*,stachydrine,stachydrine,stachydrine,N-acetyl-3-methylhistidine*,stachydrine,N-acetyl-3-methylhistidine*,stachydrine,1-linoleoyl-GPC (18:2),stachydrine,trimethylamine N-oxide,1-linoleoyl-GPC (18:2),1-methyl-5-imidazolelactate,stachydrine
phosphocholine,fructose,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,trigonelline (N'-methylnicotinate),"1,2-dilinoleoyl-GPC (18:2/18:2)",N-acetyl-3-methylhistidine*,3-hydroxyhexanoate,N-acetyl-3-methylhistidine*,2'-deoxycytidine,1-methyl-5-imidazolelactate,"1,2-dipalmitoyl-GPG (16:0/16:0)",trigonelline (N'-methylnicotinate),N-acetyl-3-methylhistidine*,1-linoleoyl-GPC (18:2),N-acetyl-3-methylhistidine*,1-linoleoyl-GPC (18:2),"1,2-dilinoleoyl-GPC (18:2/18:2)",1-linoleoyl-GPC (18:2),1-linoleoyl-GPC (18:2),N-acetyl-3-methylhistidine*,1-linoleoyl-GPC (18:2),salicylate,N-acetyl-3-methylhistidine*,stachydrine,1-linoleoyl-GPC (18:2)
2'-deoxycytidine,fructosyllysine,1-methyl-5-imidazolelactate,trigonelline (N'-methylnicotinate),1-methyl-5-imidazoleacetate,1-methyl-5-imidazoleacetate,aspartate,2-methylserine,stachydrine,1-methyl-5-imidazolelactate,N-acetyl-3-methylhistidine*,N-acetyl-3-methylhistidine*,"1,5-anhydroglucitol (1,5-AG)",1-linoleoyl-GPC (18:2),1-methyl-5-imidazoleacetate,1-methyl-5-imidazolelactate,1-methyl-5-imidazolelactate,1-methyl-5-imidazolelactate,1-linoleoyl-GPC (18:2),1-methyl-5-imidazolelactate,1-methyl-5-imidazolelactate,trigonelline (N'-methylnicotinate),1-methyl-5-imidazolelactate,12-HHTrE,1-methyl-5-imidazolelactate,1-linoleoyl-GPC (18:2),1-methyl-5-imidazolelactate
myristate (14:0),gamma-aminobutyrate (GABA),trimethylamine N-oxide,homocitrulline,trimethylamine N-oxide,homocitrulline,12-HHTrE,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,trimethylamine N-oxide,fructosyllysine,spermidine,trigonelline (N'-methylnicotinate),1-arachidonoyl-GPE (20:4n6)*,1-methyl-5-imidazoleacetate,trimethylamine N-oxide,"1,2-dilinoleoyl-GPC (18:2/18:2)",guanosine 2'-monophosphate (2'-GMP)*,1-methyl-5-imidazoleacetate,1-methyl-5-imidazolelactate,"1,2-dilinoleoyl-GPC (18:2/18:2)","1,2-dilinoleoyl-GPC (18:2/18:2)",1-methyl-5-imidazolelactate,"1,2-dilinoleoyl-GPC (18:2/18:2)",1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,trigonelline (N'-methylnicotinate),"1,2-dilinoleoyl-GPC (18:2/18:2)","1,2-dilinoleoyl-GPC (18:2/18:2)"
thioproline,gamma-glutamylglutamate,2-methylserine,linoleate (18:2n6),1-methyl-5-imidazolelactate,X - 23639,1-linoleoyl-GPC (18:2),"2,4-dihydroxybutyrate",1-linoleoyl-GPC (18:2),2'-deoxycytidine,X - 25244,behenoyl dihydrosphingomyelin (d18:0/22:0)*,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,trimethylamine N-oxide,1-methyl-5-imidazolelactate,12-HHTrE,trigonelline (N'-methylnicotinate),trigonelline (N'-methylnicotinate),12-HHTrE,trigonelline (N'-methylnicotinate),trigonelline (N'-methylnicotinate),1-methyl-5-imidazoleacetate,trigonelline (N'-methylnicotinate),X - 23639,1-methyl-5-imidazoleacetate,trimethylamine N-oxide,trigonelline (N'-methylnicotinate)
gulonate*,gamma-glutamylthreonine,12-HHTrE,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,1-linoleoyl-GPC (18:2),trimethylamine N-oxide,"N,N,N-trimethyl-alanylproline betaine (TMAP)",X - 25856,X - 25856,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),"1,2-dilinoleoyl-GPC (18:2/18:2)",salicylate,1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,1-methyl-5-imidazolelactate,1-linoleoyl-GPC (18:2),salicylate,salicylate,trimethylamine N-oxide,salicylate,1-methyl-5-imidazoleacetate,12-HHTrE,trimethylamine N-oxide,1-methyl-5-imidazoleacetate,thioproline,"1,2-dilinoleoyl-GPC (18:2/18:2)",palmitoyl dihydrosphingomyelin (d18:0/16:0)*,1-methyl-5-imidazoleacetate
X - 23038,glucose,salicylate,1-methyl-5-imidazoleacetate,X - 23639,X - 25244,4-cholesten-3-one,1-methyl-5-imidazolelactate,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,"1,2-dilinoleoyl-GPC (18:2/18:2)",N-carbamoylglutamate,arabitol/xylitol,1-linoleoyl-GPC (18:2),arabitol/xylitol,X - 23639,trimethylamine N-oxide,"1,2-dilinoleoyl-GPC (18:2/18:2)","1,2-dilinoleoyl-GPC (18:2/18:2)",trimethylamine N-oxide,salicylate,salicylate,"1,2-dilinoleoyl-GPC (18:2/18:2)",salicylate,arabitol/xylitol,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,trigonelline (N'-methylnicotinate),salicylate
X - 21891,glutamate,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,1-linoleoyl-GPG (18:2)*,12-HHTrE,1-linoleoyl-GPC (18:2),gamma-aminobutyrate (GABA),1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),betaine,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,stachydrine,2'-deoxycytidine,1-linoleoyl-GPE (18:2)*,12-HHTrE,12-HHTrE,trigonelline (N'-methylnicotinate),"1,5-anhydroglucitol (1,5-AG)",12-HHTrE,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,trimethylamine N-oxide,1-methyl-5-imidazoleacetate,12-HHTrE,trimethylamine N-oxide,1-linoleoyl-GPC (18:2),2'-deoxycytidine,salicylate,trimethylamine N-oxide
deoxycarnitine,glutarylcarnitine (C5-DC),gamma-aminobutyrate (GABA),beta-citrylglutamate,X - 25244,thioproline,1-methyl-5-imidazolelactate,X - 16972,"1,2-dilinoleoyl-GPC (18:2/18:2)",behenoyl dihydrosphingomyelin (d18:0/22:0)*,trigonelline (N'-methylnicotinate),1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),1-linoleoyl-GPG (18:2)*,X - 23639,X - 25244,1-methyl-5-imidazoleacetate,1-methyl-5-imidazoleacetate,salicylate,1-methyl-5-imidazoleacetate,12-HHTrE,trimethylamine N-oxide,X - 23639,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,1-methyl-5-imidazolelactate,fructosyllysine,12-HHTrE,palmitoyl dihydrosphingomyelin (d18:0/16:0)*
glycosyl-N-stearoyl-sphingadienine (d18:2/18:0)*,glycerol 3-phosphate,"N,N,N-trimethyl-alanylproline betaine (TMAP)",trimethylamine N-oxide,spermidine,12-HHTrE,trimethylamine N-oxide,"1,2-dilinoleoyl-GPC (18:2/18:2)",X - 23639,X - 23593,X - 25979,"1,2-dilinoleoyl-GPC (18:2/18:2)",1-methyl-5-imidazoleacetate,"1,2-dilinoleoyl-GPC (18:2/18:2)",spermidine,fructosyllysine,2'-deoxycytidine,X - 25244,trigonelline (N'-methylnicotinate),arabitol/xylitol,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,12-HHTrE,X - 25244,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),2-methylserine,12-HHTrE
orotidine,glycerophosphoethanolamine,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,X - 25109,thioproline,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,2-methylserine,X - 25422,12-HHTrE,trigonelline (N'-methylnicotinate),1-arachidonoyl-GPE (20:4n6)*,palmitoyl dihydrosphingomyelin (d18:0/16:0)*,1-methyl-5-imidazolelactate,salicylate,thioproline,2-methylserine,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,arabitol/xylitol,fructosyllysine,2-methylserine,fructosyllysine,2-methylserine,behenoyl dihydrosphingomyelin (d18:0/22:0)*,cysteine-glutathione disulfide,trimethylamine N-oxide,behenoyl dihydrosphingomyelin (d18:0/22:0)*,fructosyllysine
