MORE:Ranker,MOGONET:Ranker,shap,lime,t_test,randomforest_feature_importance,xgb_feature_importance,rf_permutation_feature_importance,xgb_permutation_feature_importance,lasso,ridge,elasticnet,boruta,mannwhitneyu,svm_rfe,mean_rank,min_rank,median_rank,rra_rank,geom.mean_rank,stuart_rank,mra_rank,mean_weight,max_weight,median_weight,geom.mean_weight,ta_weight
C9J9K3,2AAA,E9PIM6,E9PIM6,E9PIM6,ASAH1,PRDX6,E9PIM6,E9PIM6,LIPA4,HBD,LIPA4,2AAA,E9PIM6,E9PIM6,PPT1,E9PIM6,E9PIM6,PPT1,E9PIM6,E9PIM6,E9PIM6,E9PIM6,E9PIM6,E9PIM6,E9PIM6,E9PIM6
SYUA,PLCD1,PPT1,PCP,LYAG,E9PIM6,PADI2,IP3KA,PCP,PPT1,PPT1,HBD,A0A087WW96,LYAG,LYAG,ASAH1,PRDX6,PCP,E9PIM6,ASAH1,PPT1,PCP,PPT1,LYAG,PPT1,PPT1,PPT1
CNTN1,OPCM,HBD,LANC2,PCP,EPDR1,E9PIM6,PCP,PRIO,REEP5,LIPA4,PPT1,A0A0C4DGH3,PCP,PCP,E9PIM6,PCP,ASAH1,ASAH1,PPT1,ASAH1,PPT1,ASAH1,HBD,HBD,LIPA4,ASAH1
BCAT1,PACN1,LYAG,NEGR1,VA0D1,RL12,AP2A1,VA0D1,CYTC,MOC2B,CRYL1,REEP5,A4,ASAH1,VA0D1,PCP,LIPA4,PPT1,PCP,PCP,PCP,ASAH1,LIPA4,SPB6,LIPA4,CXA1,LIPA4
FSD1,PADI2,ASAH1,ASAH1,AP2B1,PCP,PCP,AP2B1,LIPA4,HBD,SPB6,OGA,AAKB2,EPHA4,AP2B1,LYAG,AP2A2,CXA1,LYAG,LYAG,LYAG,LIPA4,HBD,GPM6A,REEP5,OGA,HBD
FRIL,PAK1,CNTN1,CPLX2,SYUA,LYAG,MOC2B,SYUA,PON2,L1CAM,OGA,L1CAM,ABI2,KCC2A,SYUA,S27A1,HBD,OGA,CXA1,LIPA4,LIPA4,HBD,PCP,E7EVA0,OGA,PCP,MOC2B
B5MBY2,PCP,OGA,HP1B3,ASAH1,C9JNY7,S27A1,ASAH1,EPDR1,OGA,CXA1,CXA1,ACOX1,EPDR1,ASAH1,MOC2B,ASAH1,MOC2B,K7EKD1,OGA,CXA1,LYAG,OGA,LIPA4,PCP,CNTN1,OGA
SYUB,PDLI5,PRP19,CXA1,PPT1,AP2A2,CPLX2,PPT1,GFAP,CXA1,E9PIM6,SPB6,ACTN1,K7EKD1,PPT1,K7EKD1,PPT1,K7EKD1,OGA,MOC2B,OGA,OGA,MOC2B,L1CAM,L1CAM,ASAH1,CXA1
CAC1E,PGCA,IP3KA,PVRL1,NEUM,K7EKD1,ACOX1,NEUM,HP1B3,ASAH1,REEP5,MOC2B,AGRIN,PPT1,NEUM,EPDR1,PADI2,LIPA4,S27A1,HBD,MOC2B,CXA1,CXA1,CYTC,ASAH1,MOC2B,LYAG
ASAH1,PGM2L,LIPA4,PON2,E9PDG8,MAP6,LPPRC,E9PDG8,OGA,BCAT1,H0Y858,BCAT1,AHNK,SYNJ1,E9PDG8,CNTN1,IP3KA,GLNA,SPB6,CXA1,K7EKD1,REEP5,REEP5,BCAT1,MOC2B,REEP5,REEP5
S6A17,PHAR1,PCP,PPT1,SYNJ1,PPT1,ASAH1,SYNJ1,FRIL,STAT3,STAT3,GLNA,ALDH2,RL12,SYNJ1,BCAT1,LYAG,LYAG,PON2,EPDR1,S27A1,EPDR1,SPB6,FRIL,CXA1,LYAG,SPB6
AP2B1,PITH1,CYTC,MOC2B,PRIO,HP1B3,CAV1,PRIO,NUMA1,E9PIM6,L1CAM,LPPRC,ANXA1,THTR,PRIO,LIPA4,REEP5,EPDR1,CNTN1,K7EKD1,EPDR1,MOC2B,LYAG,THTR,BCAT1,S27A1,PCP
HBD,PON2,PRIO,TPP1,IP3KA,CPLX2,AP2A2,K7EKD1,CNTN1,DHB11,PVRL1,STAT3,ANXA2,ACOX1,IP3KA,OGA,LANC2,CNTN1,PRDX6,SPB6,PRDX6,PRIO,PRDX6,ASAH1,SPB6,EPDR1,CNTN1
CTBP1,A0A087WW96,EPDR1,PADI2,K7EKD1,AP2B1,CXA1,TBB4B,PPT1,FKBP5,BCAT1,FKBP5,AP2A1,H0Y858,K7EKD1,PON2,C9JNY7,HBD,MOC2B,S27A1,REEP5,CPLX2,S27A1,PRDX6,LYAG,GLNA,BCAT1
L2GL1,PP2BB,MOC2B,NB5R1,FRS1L,NEGR1,GFAP,FRS1L,PADI2,SPB6,LPPRC,ASAH1,AP2A2,PRDX6,FRS1L,PRDX6,PRIO,S27A1,BCAT1,REEP5,SPB6,STAT3,BCAT1,EPHA4,STAT3,LPPRC,PRDX6
