MORE:Ranker,MOGONET:Ranker,shap,lime,t_test,randomforest_feature_importance,xgb_feature_importance,rf_permutation_feature_importance,xgb_permutation_feature_importance,lasso,ridge,elasticnet,boruta,mannwhitneyu,svm_rfe,mean_rank,min_rank,median_rank,rra_rank,geom.mean_rank,stuart_rank,mra_rank,mean_weight,max_weight,median_weight,geom.mean_weight,ta_weight
TMEM107,A2ML1,MEIS3,PPDPF,SLC6A12,PPDPF,AQP6,RHOQ,KIF5A,RPL29,RPL29,RPL29,A2ML1,SLC6A12,A2ML1,PTPRF,MEIS3,CNN3-DT,PTPRF,PTPRF,PTPRF,SLC6A12,PTPRF,QDPR,PTPRF,PTPRF,PTPRF
ZCCHC17,PCYOX1L,CNN3-DT,SLC4A11,PPDPF,SLC6A12,SLC6A12,ASCL1,PLEKHM2,QDPR,PTPRF,PTPRF,ADIPOR2,PPDPF,ADIPOR2,CCDC69,AQP6,PTPRF,CCDC69,PPDPF,PPDPF,PPDPF,PPDPF,ITPKB,CNN3-DT,PPDPF,CNN3-DT
FAM107B,PHYHIP,APLN,CNN3-DT,ARRDC2,APLN,MYOT,CMTM3,ARK2C,KLHL5,CNN3-DT,KLHL5,ADORA2A,CCDC69,ADORA2A,PPDPF,CMTM3,CCDC69,PPDPF,CNN3-DT,CCDC69,CNN3-DT,CNN3-DT,RHOQ,RPL29,CCDC69,PPDPF
ARRDC2,PIEZO2,FZD9,APLN,CCDC69,MEIS3,ARK2C,LNCOC1,PTPRF,PTPRF,KLHL5,CNN3-DT,ADRA1D,ARRDC2,ADRA1D,KIF5A,RHOQ,PPDPF,CNN3-DT,CCDC69,CNN3-DT,APLN,KIF5A,SAMD4A,CEDORA,APLN,KIF5A
KCNJ16,PLEKHM2,PLEKHM2,CEP83,PRELP,PLEKHM2,MCM7,LINC01485,SPACA6,CNN3-DT,DOCK5,DOCK5,AGPAT1,APLN,AGPAT1,APLN,AGPAT1,CMTM3,APLN,SLC6A12,APLN,PTPRF,RPL29,ARRDC2,CMTM3,MEIS3,CCDC69
CPM,PLK2,PTPRF,CDK18,SLC6A9,CNN3-DT,PLK2,PTPRF,TCF15,HIGD1B,CEDORA,QDPR,AIF1L,SLC6A9,AIF1L,CNN3-DT,RPL29,AQP6,KIF5A,APLN,SLC6A12,KLHL5,CCDC69,ZNF652-AS1,QDPR,KIF5A,APLN
ODC1,PLXNB1,SLC6A12,AQP6,CARHSP1,CCDC69,IQGAP1,LINC00926,WSCD1,DOCK5,FZD9,MID1IP1,ANKRD19P,PRELP,ANKRD19P,SLC6A12,PPDPF,APLN,QDPR,KIF5A,KIF5A,CCDC69,APLN,AGPAT1,PPDPF,FZD9,CMTM3
METTL1,PNMA5,CCDC69,LINC01736,CSRP1,LINC01485,NDE1,ISYNA1,HMG20B,MID1IP1,FFAR4,CEDORA,ANKRD40,SLC4A11,ANKRD40,QDPR,KIF5A,KIF5A,AQP6,CMTM3,CMTM3,MEIS3,MEIS3,TNS3,MID1IP1,ZNF652-AS1,RPL29
CCKBR,PPDPF,LINC01485,MEIS3,AGPAT1,AQP6,LINC00926,TMEM107,SLC30A3,CMTM3,CACNG3,CMTM3,ANLN,ANLN,ANLN,PLEKHB1,SLC6A12,MEIS3,SLC6A12,AQP6,AQP6,AQP6,CMTM3,TEAD2,FZD9,PLEKHB1,QDPR
ANKRD40,PRELP,PPDPF,KIF5A,PLEKHB1,SLC4A11,S100A4,KCNJ16,FZD9,CEDORA,MID1IP1,HIGD1B,APLN,AGPAT1,APLN,CMTM3,QDPR,SLC6A12,MEIS3,MEIS3,RPL29,CMTM3,QDPR,ANLN,APLN,QDPR,MEIS3
