MORE:Ranker,MOGONET:Ranker,shap,lime,t_test,randomforest_feature_importance,xgb_feature_importance,rf_permutation_feature_importance,xgb_permutation_feature_importance,lasso,ridge,elasticnet,boruta,mannwhitneyu,svm_rfe,mean_rank,min_rank,median_rank,rra_rank,geom.mean_rank,stuart_rank,mra_rank,mean_weight,max_weight,median_weight,geom.mean_weight,ta_weight
hsa-miR-452,A2ML1,hsa-miR-129-5p,hsa-miR-132,hsa-miR-132,hsa-miR-132,SLC6A12,AQP6,hsa-miR-433,hsa-miR-885-5p,RPL29,hsa-miR-885-5p,A2ML1,hsa-miR-132,hsa-miR-132,hsa-miR-129-5p,hsa-miR-129-5p,hsa-miR-129-5p,hsa-miR-129-5p,hsa-miR-129-5p,hsa-miR-129-5p,hsa-miR-132,hsa-miR-129-5p,hsa-miR-132,hsa-miR-129-5p,hsa-miR-129-5p,hsa-miR-129-5p
hsa-miR-1286,hsa-miR-186,hsa-miR-132,hsa-miR-129-5p,SLC6A12,hsa-miR-129-5p,SMIM10L2A,SLC6A9,hsa-miR-29a,hsa-miR-129-5p,hsa-miR-129-5p,RPL29,ADIPOR2,SLC6A12,hsa-miR-129-5p,MEIS3,RPL29,hsa-miR-132,hsa-miR-132,hsa-miR-132,hsa-miR-132,hsa-miR-129-5p,hsa-miR-132,RPL29,hsa-miR-132,hsa-miR-132,hsa-miR-132
hsa-let-7g,hsa-miR-199a-5p,FZD9,PPDPF,PPDPF,PPDPF,hsa-miR-132,hsa-miR-186,APLN,hsa-miR-99a,hsa-miR-885-5p,hsa-miR-129-5p,ADORA2A,PPDPF,hsa-miR-29a,CNN3-DT,hsa-miR-433,CNN3-DT,CNN3-DT,APLN,MEIS3,PPDPF,RPL29,SLC6A9,hsa-miR-885-5p,PLEKHM2,RPL29
hsa-miR-107,hsa-miR-1979,PLEKHM2,MAST3,hsa-miR-129-5p,PLEKHM2,hsa-miR-216a,ZNF704,hsa-miR-448,RPL29,hsa-miR-423-3p,hsa-miR-99a,ADRA1D,hsa-miR-129-5p,hsa-miR-133b,PLEKHM2,AQP6,PLEKHM2,APLN,MEIS3,CNN3-DT,hsa-miR-885-5p,hsa-miR-885-5p,SLC4A11,RPL29,MEIS3,hsa-miR-885-5p
hsa-miR-24,hsa-miR-197,APLN,CEP83,ARRDC2,CDK2AP1,hsa-miR-95,MEIS3,hsa-miR-95,PTPRF,hsa-miR-99a,hsa-miR-423-3p,AGPAT1,CCDC69,hsa-miR-433,RPL29,hsa-miR-885-5p,APLN,MEIS3,PLEKHM2,APLN,CCDC69,PLEKHM2,hsa-miR-517c_hsa-miR-519a,hsa-miR-99a,RPL29,PLEKHM2
hsa-miR-1305,hsa-miR-195,MEIS3,MPV17L2,CCDC69,GAREM2,CCDC69,hsa-miR-664,hsa-miR-362-3p,hsa-miR-423-3p,hsa-miR-30a,hsa-miR-125a-5p,AIF1L,ARRDC2,hsa-miR-129-3p,ARRDC2,AGPAT1,MEIS3,CCDC69,CNN3-DT,PLEKHM2,APLN,MEIS3,SLC43A3,PTPRF,CCDC69,MEIS3
hsa-miR-520e,hsa-miR-194,CCDC69,MAP4K3-DT,PRELP,APLN,hsa-miR-101,hsa-miR-369-3p,CNN3-DT,LNCBRM,hsa-miR-129-3p,hsa-miR-129-3p,ANKRD19P,APLN,hsa-miR-432,hsa-miR-132,SLC6A12,SLC6A12,PLEKHM2,SLC6A12,CCDC69,hsa-miR-99a,hsa-miR-99a,hsa-miR-885-5p,hsa-miR-129-3p,hsa-miR-885-5p,hsa-miR-99a
hsa-miR-484,hsa-miR-193b,hsa-miR-423-3p,hsa-miR-504,SLC6A9,SLC6A12,LINC02217,hsa-miR-548h,WSCD1,hsa-miR-34a,hsa-miR-660,PTPRF,ANKRD40,SLC6A9,ebv-miR-BART8,CCDC69,hsa-miR-132,CCDC69,PPDPF,PPDPF,RPL29,hsa-miR-423-3p,PTPRF,PLEKHM2,LNCBRM,SPACA6,PTPRF
FOXO4,hsa-miR-192,SLC30A3,LNCOC1,CARHSP1,AQP6,hsa-miR-370,hsa-miR-151-3p,hsa-miR-454,DOCK1,hsa-miR-150,hsa-miR-150,ANLN,PRELP,hsa-miR-885-5p,APLN,ANLN,hsa-miR-29a,CMTM3,CCDC69,PPDPF,SLC6A12,SLC6A12,SPACA6,FZD9,hsa-miR-423-3p,SLC6A12
hsa-miR-577,hsa-miR-1912,PTPRF,SPACA6,CSRP1,ANLN,hsa-miR-516a-3p,hsa-miR-126,PLEKHM2,hsa-miR-125a-5p,ZBBX,hsa-miR-660,APLN,SLC4A11,hsa-miR-362-3p,hsa-miR-29a,hsa-miR-29a,PPDPF,ARRDC2,RPL29,SLC6A12,PLEKHM2,APLN,TRIP10,hsa-miR-423-3p,hsa-miR-99a,APLN
