MORE:Ranker,MOGONET:Ranker,shap,lime,t_test,randomforest_feature_importance,xgb_feature_importance,rf_permutation_feature_importance,xgb_permutation_feature_importance,lasso,ridge,elasticnet,boruta,mannwhitneyu,svm_rfe,mean_rank,min_rank,median_rank,rra_rank,geom.mean_rank,stuart_rank,mra_rank,mean_weight,max_weight,median_weight,geom.mean_weight,ta_weight
hsa-miR-181b-5p,hsa-miR-199b-5p,cg15700197,cg15700197,cg15700197,cg26353877,cg15700197,hsa-miR-21-5p,cg15700197,cg25902889,hsa-miR-493-5p,cg25902889,cg00019495,cg15700197,hsa-miR-21-5p,hsa-miR-10b-5p,cg15700197,cg15700197,cg15700197,cg15700197,cg15700197,cg15700197,cg15700197,hsa-miR-21-5p,cg15700197,cg15700197,cg15700197
hsa-miR-148b-3p,hsa-miR-100-5p,cg19264571,cg26353877,cg23290344,cg21949305,cg26353877,hsa-miR-486-5p,cg11052143,cg23290344,hsa-miR-590-3p,cg03802191,cg00548268,cg11052143,hsa-miR-139-5p,hsa-miR-139-3p,cg00548268,hsa-miR-10b-5p,hsa-miR-10b-5p,hsa-miR-10b-5p,hsa-miR-10b-5p,cg26353877,cg25902889,cg05828624,cg25902889,hsa-miR-10b-5p,cg25902889
hsa-miR-141-5p,hsa-miR-183-5p,cg26353877,cg25902889,cg19264571,hsa-miR-10b-5p,cg19264571,hsa-let-7c-3p,hsa-miR-10b-5p,cg27378216,cg25902889,cg23290344,cg00594952,cg26353877,hsa-miR-139-3p,cg15700197,cg26353877,cg11052143,hsa-miR-139-3p,hsa-miR-139-3p,hsa-miR-139-3p,cg25902889,hsa-miR-10b-5p,cg02989940,cg23290344,cg11052143,hsa-miR-10b-5p
hsa-miR-142-5p,hsa-miR-196a-5p,hsa-miR-10b-5p,cg11052143,cg21949305,cg15700197,cg04456238,hsa-let-7c-5p,hsa-miR-486-5p,cg15700197,hsa-miR-32-5p,hsa-miR-590-3p,cg00619207,cg24625388,hsa-miR-96-5p,cg11052143,cg25902889,hsa-miR-139-3p,cg23290344,cg11052143,cg11052143,hsa-miR-10b-5p,cg23290344,cg03602500,cg26353877,hsa-miR-139-3p,cg23290344
cg17397493,hsa-miR-195-5p,cg04456238,cg21949305,cg11052143,hsa-miR-139-3p,cg11052143,hsa-miR-139-5p,hsa-miR-195-3p,hsa-miR-378a-5p,cg03802191,cg27378216,cg00718513,cg02164046,hsa-miR-183-5p,cg02164046,hsa-miR-493-5p,cg23290344,cg11052143,cg23290344,cg23290344,cg11052143,cg26353877,cg09272256,cg27378216,cg26353877,cg26353877
cg12108912,hsa-miR-195-3p,cg11052143,hsa-miR-10b-5p,cg02164046,cg25691167,hsa-miR-10b-5p,hsa-miR-139-3p,hsa-miR-155-5p,cg25384595,hsa-miR-493-3p,hsa-miR-493-3p,cg00910168,cg25691167,hsa-miR-145-5p,hsa-miR-21-5p,hsa-miR-21-5p,cg26687173,cg26353877,cg25902889,cg25902889,cg02164046,cg11052143,cg12006284,cg03802191,cg19264571,cg11052143
hsa-miR-584-5p,hsa-miR-193a-5p,cg02164046,cg04057858,cg22980079,cg25902889,cg02164046,hsa-miR-96-5p,hsa-miR-10b-3p,hsa-miR-200a-3p,hsa-miR-196a-5p,cg14175438,cg01009664,cg03602500,hsa-miR-204-5p,cg26687173,hsa-miR-139-3p,hsa-miR-21-5p,cg25902889,cg26353877,cg26353877,hsa-miR-139-3p,hsa-miR-590-3p,cg20903926,hsa-miR-590-3p,cg11003133,hsa-miR-590-3p
cg18081258,hsa-miR-192-5p,cg26687173,hsa-miR-139-3p,hsa-miR-139-3p,cg23290344,hsa-miR-21-5p,hsa-miR-183-5p,hsa-miR-139-5p,hsa-miR-10b-5p,hsa-miR-758-3p,hsa-miR-326,cg01072821,cg09847584,hsa-miR-10b-5p,cg25902889,cg11052143,cg02164046,cg02164046,hsa-miR-21-5p,hsa-miR-21-5p,cg23290344,cg03802191,cg26259865,cg25384595,cg02164046,cg03802191
cg04268405,hsa-miR-191-5p,cg11003133,cg05828624,cg24625388,cg05828624,hsa-miR-139-5p,hsa-miR-145-5p,hsa-miR-139-3p,hsa-miR-326,hsa-miR-148b-5p,cg10222534,cg01109219,cg00548268,hsa-miR-1307-5p,cg23290344,cg19264571,hsa-miR-141-3p,hsa-miR-21-5p,cg02164046,cg02164046,hsa-miR-21-5p,cg27378216,cg22979433,hsa-miR-10b-5p,cg26687173,cg27378216
hsa-miR-675-3p,hsa-miR-190b-5p,hsa-miR-21-5p,cg26687173,cg25691167,cg11052143,cg26687173,hsa-miR-204-5p,hsa-miR-96-5p,hsa-miR-493-3p,hsa-miR-144-5p,cg25384595,cg01335367,hsa-miR-10b-5p,hsa-miR-486-5p,hsa-miR-486-5p,cg23290344,cg11003133,cg26687173,cg26687173,cg26687173,hsa-miR-139-5p,cg21949305,cg15528736,cg21949305,hsa-miR-21-5p,cg21949305
