MORE:Ranker,MOGONET:Ranker,shap,lime,t_test,randomforest_feature_importance,xgb_feature_importance,rf_permutation_feature_importance,xgb_permutation_feature_importance,lasso,ridge,elasticnet,boruta,mannwhitneyu,svm_rfe,mean_rank,min_rank,median_rank,rra_rank,geom.mean_rank,stuart_rank,mra_rank,mean_weight,max_weight,median_weight,geom.mean_weight,ta_weight
ITPRID2,A2ML1,MEIS3,CCDC69,SLC6A12,SLC6A12,cg13043509,cg19832721,WBP2,RPL29,RPL29,RPL29,A2ML1,SLC6A12,A2ML1,PLEKHB1,MEIS3,CNN3-DT,CNN3-DT,SLC6A12,SLC6A12,SLC6A12,RPL29,cg12845808,RPL29,PTPRF,RPL29
cg22534509,cg08727202,APLN,PTPRF,PPDPF,PTPRF,cg12864235,cg02347487,LINC01485,QDPR,cg24134767,cg02932167,ADIPOR2,PPDPF,ADIPOR2,SLC6A12,AGPAT1,PPDPF,PPDPF,CCDC69,CCDC69,RPL29,SLC6A12,ARRDC2,SLC6A12,SLC6A12,SLC6A12
A2ML1,cg10978355,PLEKHM2,MEIS3,PRELP,CCDC69,AQP6,ZNF441,cg22534509,SPACA6,cg16003238,YBX2,ADORA2A,CCDC69,ADORA2A,CCDC69,WBP2,MEIS3,PTPRF,PPDPF,PPDPF,CCDC69,PTPRF,cg12864235,APLN,MEIS3,MEIS3
cg08548888,cg10942056,LINC01485,S100A4,SLC6A9,SLC6A9,SLC6A12,cg22224704,PHYHIP,cg02932167,YBX2,cg24134767,ADRA1D,ARRDC2,ADRA1D,PTPRF,cg13043509,AQP6,CCDC69,CNN3-DT,PTPRF,APLN,MEIS3,cg08578641,YBX2,CNN3-DT,PTPRF
cg10313673,cg10923408,cg16003238,cg24765079,ARRDC2,APLN,SLC5A11,cg25947945,RPL29,CNN3-DT,cg19485804,SPACA6,AGPAT1,SLC6A9,AGPAT1,MEIS3,cg19832721,QDPR,PLEKHB1,PTPRF,CNN3-DT,SPACA6,CCDC69,cg24134767,SPACA6,CCDC69,CCDC69
cg09705062,cg10313673,FZD9,cg16003238,CCDC69,PLEKHM2,cg20028470,YBX2,cg19485804,cg24134767,cg02932167,QDPR,AIF1L,APLN,AIF1L,PPDPF,CCDC69,PTPRF,MEIS3,MEIS3,MEIS3,AGPAT1,CNN3-DT,AGPAT1,QDPR,SPACA6,cg12864235
cg09656934,cg09705062,PTPRF,CDK2AP1,CARHSP1,AGPAT1,cg09222115,cg04983977,cg23349242,cg09705062,SPACA6,CNN3-DT,ANKRD19P,PRELP,ANKRD19P,LNCBRM,RPL29,PLEKHB1,SLC6A12,RPL29,RPL29,QDPR,cg12864235,cg17506742,AQP6,cg24765079,CNN3-DT
cg09382492,cg09656934,cg00745735,cg26509022,CSRP1,CSRP1,cg11136562,cg13043509,NRIP2,cg15127733,cg15127733,cg16361890,ANKRD40,ANLN,ANKRD40,ZNF652-AS1,SLC6A12,cg16003238,cg16003238,APLN,PLEKHB1,cg16003238,SPACA6,cg19485804,cg12864235,cg00745735,QDPR
cg09222115,cg09382492,SPACA6,AGPAT1,AGPAT1,AQP6,cg17939444,VASP,GIPR,PLEKHB1,QDPR,cg19485804,ANLN,CARHSP1,ANLN,MID1IP1,CMTM3,SLC6A12,LNCBRM,SPACA6,SPACA6,CNN3-DT,cg16003238,ANKRD40,cg19485804,cg19485804,SPACA6
cg09152089,cg09222115,cg24362726,cg02489552,PLEKHB1,ANLN,cg23741330,cg02010852,LINC01007,cg12864235,cg12864235,cg16003238,APLN,SLC4A11,APLN,CNN3-DT,CNN3-DT,APLN,cg22442730,PLEKHB1,APLN,PPDPF,APLN,ANLN,CCDC69,cg09656934,PLEKHB1
cg08775230,cg09152089,CNN3-DT,PPDPF,MCM7,TRIP10,RIPOR3,cg22282672,LINC00926,YBX2,CNN3-DT,cg15127733,AQP6,S100A4,AQP6,NRIP2,cg02347487,CCDC69,AQP6,cg16003238,cg16003238,YBX2,YBX2,APLN,S100A4,ZNF652-AS1,cg00745735
cg08727202,cg08775230,cg02347487,CNN3-DT,CDK2AP1,CDK2AP1,cg20870559,LINC00926,LINC00515,cg16361890,CMTM3,cg09705062,ARHGEF37,MCM7,ARHGEF37,cg19485804,cg02932167,SLC4A11,RPL29,QDPR,cg19485804,CDK2AP1,QDPR,AQP6,CNN3-DT,PLEKHB1,cg16003238
cg08578641,cg08578641,SLC6A12,NRIP2,ANLN,S100A4,LNCBRM,cg22442730,LINC00310,HIGD1B,cg14851685,cg12864235,ARK2C,AGPAT1,ARK2C,cg24765079,cg12864235,SPACA6,SPACA6,cg19485804,QDPR,ANLN,PLEKHB1,cg13043509,cg16003238,cg12864235,YBX2
cg08351331,ADIPOR2,cg12981137,MAP4K3-DT,KIF5B,MAP4K3-DT,cg22442730,PPDPF,CCNO,cg19485804,cg16361890,CMTM3,ARRDC2,ANKRD40,ARRDC2,RPL29,LINC01485,cg00745735,QDPR,AQP6,AQP6,cg12864235,cg00745735,cg22442730,cg16361890,NRIP2,APLN
cg10942056,cg08548888,cg05050341,SLC4A11,GAREM2,PPDPF,PLEKHB1,cg22545356,GAREM2,cg27146152,cg09656934,cg27146152,ASCL1,CDK2AP1,ASCL1,cg22442730,QDPR,CMTM3,cg12845808,CMTM3,NRIP2,cg19485804,PPDPF,cg19832721,MEIS3,cg14851685,cg19485804
cg08241785,cg08351331,cg02654291,TIMELESS,QDPR,CNN3-DT,cg15517609,FFAR4,FOXO4,PTPRF,cg00745735,PLEKHB1,ATF7IP2,GAREM2,ATF7IP2,LINC01664,APLN,cg09656934,APLN,ARRDC2,LNCBRM,PTPRF,cg24765079,HMGN2,cg15127733,PLEKHM2,cg24765079
cg07730301,cg08241785,SLC4A11,APLN,TRIP10,SLC4A11,DOCK1,cg22672790,CEDORA,CLMN,cg18986273,ARK2C,C22orf46P,PLEKHB1,C22orf46P,SPACA6,ANKRD40,cg24765079,NRIP2,NRIP2,cg22442730,PLEKHB1,cg19485804,cg00745735,CMTM3,cg15517609,cg09656934
cg07412254,cg07730301,AQP6,DNAJC18,AQP6,cg24765079,PLEKHM2,INPPL1,LINC02217,CEDORA,PPDPF,cg05429895,CACNG3,CSRP1,CACNG3,cg16003238,PTPRF,ZNF652-AS1,MID1IP1,cg24765079,ARRDC2,SLC4A11,cg09656934,cg16003238,PPDPF,RPL29,CMTM3
cg07197059,cg07412254,LINC03013,CDK18,SMIM3,CEACAM16-AS1,DBI,KIF13B,LINC01664,cg06220958,cg09705062,cg14851685,CARHSP1,FOXO4,CARHSP1,ARRDC2,PPDPF,cg19485804,cg19485804,ANLN,CMTM3,AQP6,ZNF652-AS1,cg26832211,cg24134767,cg12981137,ZNF652-AS1
cg07193504,cg07197059,cg24765079,LINC01664,SLC4A11,NRIP2,NDE1,WNT10B,LY86-AS1,cg24765079,cg27146152,HIGD1B,CASC3,AQP6,CASC3,APLN,cg24134767,MID1IP1,CMTM3,cg22442730,cg24765079,CSRP1,cg22442730,CARHSP1,cg09705062,cg09705062,cg02347487
cg06946880,cg07193504,cg22442730,SASH1,MYOT,LINC01736,cg21062347,SYDE1,LINC02552,ARK2C,cg23159337,FZD9,CCDC69,KIF5B,CCDC69,CMTM3,cg16003238,ANLN,AGPAT1,cg00745735,MID1IP1,cg24765079,AQP6,cg11761535,cg00745735,cg06690548,cg22442730
cg06933965,cg06946880,cg00727590,cg02595219,S100A4,MPV17L2,NRIP2,LINC01736,LNCBRM,MEIS3,FZD9,cg12845808,CCKBR,MID1IP1,CCKBR,cg00745735,ZNF441,RPL29,cg00745735,YBX2,ZNF652-AS1,MEIS3,cg02347487,QDPR,PLEKHB1,cg22442730,PPDPF
cg06849477,cg06933965,SLC30A3,cg22282672,APLN,MEIS3,cg03258472,AQP6,LNCOC1,CMTM3,cg05429895,cg05973262,CCNO,MEIS3,CCNO,cg12845808,ANLN,cg12845808,LINC01664,cg12864235,cg00745735,cg24134767,CMTM3,cg02489552,MAP4K3-DT,cg02347487,cg14851685
cg06690548,cg06849477,cg06220958,cg11761535,HMGN2,CEP83,cg00095526,SMIM3,CASC3,CARHSP1,cg05973262,cg21301148,CDH22,QDPR,CDH22,cg09656934,SPACA6,cg09705062,LY86-AS1,LINC01485,ANLN,cg22442730,cg14851685,cg04983977,cg27146152,cg02654291,PLEKHM2
cg10923408,cg11052143,MAST3,ZNF652-AS1,RPSAP69,cg16003238,cg08578641,cg21671476,MAP4K3-DT,METTL1,cg05245515,cg00745735,CDK18,GIPR,CDK18,AQP6,YBX2,CDK18,SLC4A11,ZNF652-AS1,cg12845808,NRIP2,NRIP2,CDK2AP1,SLC5A11,HSPB2,NRIP2
cg10978355,cg11126134,cg19485804,cg09656934,FAM107B,MCM7,GPCPD1,GPCPD1,MAP4K4,cg16003238,cg19832721,cg06220958,CDK2AP1,RPSAP69,CDK2AP1,ANLN,PRELP,cg22442730,cg24765079,PLEKHM2,YBX2,S100A4,PLEKHM2,C22orf46P,FZD9,cg06220958,LINC01485
cg06344807,cg11136562,cg06690548,HSPB2,PREX1,SASH1,cg13299148,cg25903497,MARCHF8,KLHL5,cg22224704,OLMALINC,CEACAM16-AS1,CPM,CEACAM16-AS1,C22orf46P,PLEKHM2,MCM7,CDK2AP1,AGPAT1,LINC01664,CMTM3,cg09705062,cg24765079,PLEKHM2,cg15127733,cg11761535
cg11052143,cg11504740,cg27104271,cg18182399,ANKRD19P,SLC25A18,PTPRF,CLMN,MAST3,MID1IP1,cg02654291,cg24765079,CEDORA,A2ML1,CEDORA,LY86-AS1,KIF5A,cg14851685,cg12864235,LNCBRM,LINC01485,PLEKHM2,LINC01485,cg06690548,PTPRF,cg18986273,FZD9
cg14837165,cg14851685,ARRDC2,cg00840516,ANKRD40,IP6K3,IQCK-AS1,cg04502814,MCM7,cg05429895,MID1IP1,cg09656934,CELF6,PREX1,CELF6,OLMALINC,AQP6,cg02347487,OR7A5,CARHSP1,cg09656934,CARHSP1,FZD9,ZNF652-AS1,cg22224704,OR7A5,cg16361890
cg14792480,cg14837165,SASH1,KIF13B,MID1IP1,CDK18,OR7A5,CARHSP1,METTL1,cg26832211,PLEKHB1,CEDORA,CEP83,LINC00926,CEP83,cg06690548,cg22534509,cg12981137,ZNF652-AS1,CDK2AP1,cg12864235,MAP4K3-DT,cg16361890,CCDC69,cg24765079,cg26832211,cg09705062
cg14600885,cg14792480,cg00466249,cg21960110,CMTM3,HSPB2,LINC00926,cg13288195,CCKBR,OLMALINC,HIGD1B,PTPRF,CHID1,ISYNA1,CHID1,OR7A5,S100A4,LNCBRM,cg09656934,MID1IP1,AGPAT1,cg00745735,cg11761535,TRIP10,HIGD1B,cg12845808,AQP6
cg14435807,cg14600885,RPL29,KCNJ16,RIPOR3,PRELP,cg06946880,cg00745735,ARRDC2,cg21301148,cg08241785,cg05245515,CHRNA2,HMGN2,CHRNA2,LINC01485,KLHL5,LINC01485,cg12981137,SLC4A11,SLC4A11,cg16361890,cg15517609,PTPRF,ARK2C,FZD9,MID1IP1
cg14072120,cg14435807,NRIP2,MRAS,MXI1,cg04983977,MEIS3,GAREM2,CACNG3,cg19832721,cg06220958,cg08241785,CLMN,FAM107B,CLMN,QDPR,SLC6A9,KIF5A,C22orf46P,cg12845808,CDK2AP1,MCM7,cg12845808,SPACA6,cg02932167,cg24362726,cg15517609
cg13673514,cg14072120,CCDC69,cg03852570,CDK18,ANKRD40,PPDPF,PNMA5,ADIPOR2,SYT5,PTPRF,KLHL5,CMTM3,CDK18,CMTM3,HSPB2,PHYHIP,ARRDC2,cg14851685,cg09705062,MCM7,ARRDC2,cg15127733,ITPKB,CLMN,LNCBRM,cg12845808
cg13547644,cg13673514,cg18182399,cg06690548,SLC25A48,cg06690548,APLN,ARRDC2,EZR,cg27104271,cg11761535,cg19832721,CNN3-DT,NDE1,CNN3-DT,PLEKHM2,ARRDC2,NRIP2,YBX2,cg02347487,PLEKHM2,MID1IP1,MID1IP1,CMTM3,cg14851685,cg21062347,OLMALINC
cg13334277,cg13633560,cg15517609,cg05245515,LINC01007,cg02489552,cg05429895,HSPA2,FAM107B,FZD9,CCDC69,cg02347487,COL26A1,SLC43A3,COL26A1,cg09705062,cg22224704,cg15517609,ARRDC2,cg09656934,cg02347487,SASH1,cg26832211,CNN3-DT,cg12845808,YBX2,cg12981137
cg13299148,cg13547644,cg09656934,cg00745735,SMTN,SPACA6,SLC4A11,cg12793610,FANCC,cg05245515,cg08351331,cg27104271,COL27A1,MYOT,COL27A1,cg15517609,cg24765079,CARHSP1,SLC6A9,MCM7,C22orf46P,LINC00926,cg06220958,SLC6A9,cg02595219,MID1IP1,cg06690548
cg13288195,cg13334277,cg10313673,cg09705062,FFAR4,cg12981137,MXI1,MXI1,FFAR4,cg22672790,OLMALINC,CLMN,CPM,C22orf46P,CPM,cg02347487,cg19485804,cg18986273,ANLN,S100A4,LY86-AS1,cg09705062,OLMALINC,SLC6A12,LINC01664,cg16361890,cg02654291
cg13043509,cg13299148,ZNF652-AS1,LDLRAP1,cg12845808,cg07193504,cg15127733,NUMBL,FLT3LG,cg09656934,cg02595219,CACNG3,CSRP1,ANKRD19P,CSRP1,YBX2,cg25947945,PLEKHM2,cg06690548,cg02932167,cg09705062,PRELP,LNCBRM,CSRP1,cg06220958,ASCL1,LNCBRM
cg12981137,cg13288195,ASCL1,MCM7,ITPKB,cg00745735,cg05697249,MEIS3,CMTM3,cg00498305,cg15517609,MID1IP1,DBI,MAP4K3-DT,DBI,CDK18,SLC5A11,HSPB2,LINC01736,cg24134767,CARHSP1,GAREM2,cg06690548,SLC4A11,CEDORA,cg06946880,HSPB2
cg12864235,cg13043509,cg19832721,cg10942056,RBP4,ODC1,OR7E14P,cg12981137,CHRNA2,cg18669381,CEDORA,cg18986273,DNAJC18,CEDORA,DNAJC18,RPSAP69,FZD9,cg02654291,cg02932167,cg19832721,OR7A5,cg19832721,cg02654291,SASH1,NRIP2,LINC01485,cg26832211
cg12845808,cg12981137,C22orf46P,SAMD4A,FOXO4,TIMELESS,cg14851685,cg12845808,CHID1,cg08241785,CLMN,cg04451770,DOCK1,CNN3-DT,DOCK1,MCM7,cg20028470,LINC00926,cg24134767,SLC6A9,cg12981137,cg06220958,cg12981137,KIF5A,OLMALINC,cg00095526,ZNF704
cg12793610,cg12864235,HSPB2,cg24362726,OLMALINC,HMGN2,cg20664201,PLXNB1,CELF6,cg13334277,DOCK5,cg00498305,DOCK5,MAP4K4,DOCK5,cg14851685,cg04983977,LINC01664,MCM7,LINC00926,cg14851685,SLC6A9,S100A4,RPSAP69,CDK18,cg13334277,HIGD1B
cg12556134,cg12845808,cg13334277,SPACA6,OR7E14P,cg09656934,cg06690548,cg19884658,ADORA2A,ZNF652-AS1,ARK2C,SLC6A12,DYNC1LI2,CMTM3,DYNC1LI2,cg12981137,cg23349242,YBX2,KIF5A,KIF5A,SLC6A9,ANKRD40,HIGD1B,RPL29,AGPAT1,LINC01664,ARK2C
cg12120741,cg12793610,cg04983977,CELF6,NDE1,cg02347487,cg04983977,cg25076881,C22orf46P,cg14851685,cg21301148,SYT5,ELP2,SMIM3,ELP2,ARK2C,cg09705062,CDK2AP1,SAMD4A,PRELP,cg24134767,CDK18,ARK2C,S100A4,cg05973262,OLMALINC,S100A4
cg12052765,cg12556134,LINC01664,cg08578641,PRKCG,cg19368582,cg22398616,cg22534509,ADRA1D,HSPB2,APLN,cg23159337,EMD,LINC01007,EMD,cg26832211,CARHSP1,cg06690548,LINC01485,LINC01664,cg06690548,cg05429895,cg18986273,WBP2,MID1IP1,cg02008416,cg21301148
cg11761535,cg12120741,cg16361890,CEP83,KIF5A,RPSAP69,ZNF652-AS1,cg23616741,AIF1L,cg00777121,LINC01485,cg02654291,ERBIN,TRIP10,ERBIN,LINC01736,CDK2AP1,cg06220958,cg19832721,MAP4K3-DT,KIF5A,FZD9,cg19832721,MCM7,DNAJC18,cg21301148,CLMN
cg11504740,cg12052765,cg18986273,cg20870559,CEDORA,DBI,cg16003238,cg24134767,ANKRD19P,cg05973262,cg00498305,cg13334277,ERFE,ODC1,ERFE,cg00095526,cg09222115,CEDORA,CARHSP1,cg14851685,S100A4,cg09656934,METTL1,KLHL5,cg18986273,cg08578641,cg18986273
cg11136562,cg11761535,cg02397720,RIPOR3,SLC43A3,ZCCHC17,cg18182399,SLC5A11,ANKRD40,cg02654291,cg04451770,cg26832211,ERI3,PTPRF,ERI3,KIF5A,C22orf46P,ASCL1,cg09705062,cg16361890,cg02932167,cg05245515,HSPB2,PRELP,cg15517609,KIF5A,METTL1
cg06637893,cg06690548,cg02008416,MAP4K4,ISYNA1,ICAM5,PRSS16,LINC03013,ANLN,cg00745735,cg24389347,PPDPF,EZR,RIPOR3,EZR,CARHSP1,cg16361890,FZD9,OLMALINC,cg12981137,cg19832721,ZNF652-AS1,CLMN,LNCBRM,ANLN,LY86-AS1,CEDORA
cg05973262,cg06637893,SYDE1,TNS3,HSPB2,QDPR,RPSAP69,cg00095526,ARHGEF37,cg22398616,cg24765079,LINC01485,FAM107B,KCNJ10,FAM107B,cg18986273,CSRP1,LINC01736,CDK18,FZD9,MAP4K3-DT,cg15127733,CEDORA,MAP4K3-DT,cg09656934,cg22224704,KIF5A
cg15127733,cg06344807,cg21301148,ANLN,LINC01736,ZNF652-AS1,ODC1,cg13334277,ARK2C,cg04451770,cg27104271,cg11761535,FANCC,IQCK-AS1,FANCC,SASH1,cg11136562,cg00095526,S100A4,CDK18,OLMALINC,cg06690548,SASH1,LINC00926,CDK2AP1,cg22398616,OR7A5
cg05898524,cg03400060,HMGN2,cg19485804,ERBIN,SLC43A3,SPACA6,cg00727590,cg11136562,cg22442730,cg20744464,MEIS3,FFAR4,OR7E14P,FFAR4,MAP4K3-DT,cg26509022,LY86-AS1,HSPB2,cg06690548,HSPB2,cg15517609,ZNF704,MEIS3,cg21301148,cg02932167,cg06220958
cg02654291,cg03258472,PPDPF,DOCK1,A2ML1,cg14851685,VASP,SLC30A3,ATF7IP2,cg11761535,KLHL5,cg22224704,FLT3LG,ATF7IP2,FLT3LG,PADI2,cg00745735,cg00466249,cg02347487,C22orf46P,cg15517609,cg12981137,KLHL5,NRIP2,SASH1,ELP2,KLHL5
