MORE:Ranker,MOGONET:Ranker,shap,lime,t_test,randomforest_feature_importance,xgb_feature_importance,rf_permutation_feature_importance,xgb_permutation_feature_importance,lasso,ridge,elasticnet,boruta,mannwhitneyu,svm_rfe,mean_rank,min_rank,median_rank,rra_rank,geom.mean_rank,stuart_rank,mra_rank,mean_weight,max_weight,median_weight,geom.mean_weight,ta_weight
cg18081258,cg00019495,cg21504624,cg21504624,cg25691167,cg25691167,cg25691167,cg16361890,cg15700197,cg21504624,cg27091787,cg27091787,cg00019495,cg25691167,cg14726637,cg25691167,cg21504624,cg21504624,cg21504624,cg21504624,cg21504624,cg25691167,cg21504624,cg14726637,cg25691167,cg21504624,cg21504624
cg27342801,cg19205533,cg25691167,cg22979433,cg24625388,cg21504624,cg15700197,cg08009711,cg02329886,cg22165175,cg03548857,cg21504624,cg00548268,cg21504624,cg02329886,cg21504624,cg25691167,cg25691167,cg25691167,cg25691167,cg25691167,cg21504624,cg25691167,cg01593385,cg21504624,cg25691167,cg25691167
cg13958426,cg17397493,cg15700197,cg25691167,cg15739437,cg15700197,cg21504624,cg02329886,cg14679230,cg27091787,cg13448625,cg15528736,cg00594952,cg11052143,cg21414251,cg04456238,cg15700197,cg15528736,cg04456238,cg15700197,cg04456238,cg15700197,cg27091787,cg19797376,cg27091787,cg15528736,cg27091787
cg26738880,cg18081258,cg01656853,cg11052143,cg11052143,cg07084163,cg15739437,cg21414251,cg00718513,cg03548857,cg27378216,cg27378216,cg00619207,cg24625388,cg14679230,cg15528736,cg14726637,cg04456238,cg13897627,cg27091787,cg15700197,cg15739437,cg15528736,cg21414251,cg03548857,cg13897627,cg15528736
cg01009664,cg18270343,cg13897627,cg07084163,cg26687173,cg05828624,cg02164046,cg14679230,cg00619207,cg25391023,cg21504624,cg22165175,cg00718513,cg13897627,cg00718513,cg09847584,cg00548268,cg14679230,cg15528736,cg04456238,cg13897627,cg01656853,cg15700197,cg14679230,cg15528736,cg27091787,cg15700197
cg24408313,cg18462653,cg14679230,cg24625388,cg02164046,cg10883352,cg18940763,cg00718513,cg26738880,cg27378216,cg26218269,cg03548857,cg00910168,cg26687173,cg00619207,cg13897627,cg16361890,cg13897627,cg15700197,cg15528736,cg15528736,cg02164046,cg22165175,cg00718513,cg22165175,cg09272256,cg22165175
cg20512303,cg18552413,cg15739437,cg02164046,cg15700197,cg01656853,cg21414251,cg00619207,cg18462653,cg15528736,cg22165175,cg21902327,cg01009664,cg00548268,cg26738880,cg00548268,cg27091787,cg15700197,cg09847584,cg13897627,cg27091787,cg27091787,cg03548857,cg00619207,cg22979433,cg14679230,cg03548857
cg24603941,cg18674980,cg09847584,cg15739437,cg21504624,cg03602500,cg01656853,cg18462653,cg15895197,cg25691167,cg15528736,cg18704047,cg01072821,cg02131853,cg18462653,cg02164046,cg22979433,cg11052143,cg11052143,cg02164046,cg02164046,cg22165175,cg27378216,cg26738880,cg27378216,cg27378216,cg27378216
cg19421752,cg18680834,cg19205533,cg05440289,cg02131853,cg04456238,cg09272256,cg15895197,cg09847584,cg12006284,cg18552413,cg13958426,cg01109219,cg11213150,cg15895197,cg14679230,cg24625388,cg02164046,cg01656853,cg11052143,cg14679230,cg15528736,cg04456238,cg18462653,cg15700197,cg21902327,cg04456238
cg14696870,cg18704047,cg03143849,cg15700197,cg07651914,cg26687173,cg11213150,cg09847584,cg19946699,cg21902327,cg18704047,cg25391023,cg01335367,cg07651914,cg09847584,cg15700197,cg13631913,cg09847584,cg15739437,cg14679230,cg00548268,cg13897627,cg13897627,cg15895197,cg25391023,cg13311440,cg13897627
cg10660256,cg18729973,cg15528736,cg13897627,cg04598121,cg15739437,cg13897627,cg19946699,cg01593385,cg13448625,cg25391023,cg25691167,cg01593385,cg01656853,cg19946699,cg11213150,cg22165175,cg01656853,cg14679230,cg01656853,cg09847584,cg25391023,cg21902327,cg09847584,cg04456238,cg18704047,cg21902327
cg15154229,cg18940763,cg27091787,cg01656853,cg11213150,cg13958426,cg21902327,cg01593385,cg01335367,cg26218269,cg04456238,cg11172423,cg01656853,cg02164046,cg01593385,cg00619207,cg03548857,cg27091787,cg00548268,cg00548268,cg11052143,cg11052143,cg25391023,cg19946699,cg21902327,cg01656853,cg25391023
cg15787039,cg19238840,cg09272256,cg04456238,cg16361890,cg11052143,cg18081258,cg01335367,cg18680834,cg25384595,cg21902327,cg14726637,cg01731341,cg24408313,cg01335367,cg21902327,cg02329886,cg00548268,cg02164046,cg09847584,cg01656853,cg21902327,cg12006284,cg01335367,cg14679230,cg09847584,cg12006284
cg07337598,cg00548268,cg02164046,cg15528736,cg00548268,cg05440289,cg09847584,cg18680834,cg05127924,cg23447996,cg14679230,cg13448625,cg01958189,cg15739437,cg18680834,cg07651914,cg00619207,cg09061733,cg27091787,cg15739437,cg15739437,cg03548857,cg13958426,cg05606799,cg12006284,cg03143849,cg13958426
cg19205533,cg19264571,cg11213150,cg03602500,cg09837977,cg13897627,cg15528736,cg05127924,cg17397493,cg13958426,cg18270343,cg19205533,cg02100848,cg19205533,cg05127924,cg27091787,cg08009711,cg24625388,cg11213150,cg03548857,cg00619207,cg09847584,cg24625388,cg18680834,cg07084163,cg19205533,cg24625388
cg10667970,cg19421752,cg21414251,cg03109316,cg15791248,cg02131853,cg27091787,cg17397493,cg25902889,cg09272256,cg12006284,cg27390220,cg02131853,cg04456238,cg17397493,cg03548857,cg00718513,cg19205533,cg00619207,cg24625388,cg03548857,cg14679230,cg22979433,cg05127924,cg05828624,cg26353877,cg22979433
cg18674980,cg19456540,cg18081258,cg06771126,cg09061733,cg01009664,cg19205533,cg25902889,cg14833385,cg14679230,cg04086834,cg12006284,cg02164046,cg04598121,cg25902889,cg01656853,cg14679230,cg07651914,cg03143849,cg00619207,cg21902327,cg11213150,cg07084163,cg17397493,cg04268405,cg15700197,cg07084163
cg05606799,cg19466563,cg26353877,cg26687173,cg19264571,cg16361890,cg03143849,cg14833385,cg06123346,cg04456238,cg19205533,cg04456238,cg02245378,cg11394785,cg14833385,cg11052143,cg15739437,cg15895197,cg07651914,cg21902327,cg11213150,cg02131853,cg14679230,cg25902889,cg10883352,cg04456238,cg14679230
cg09478478,cg19486673,cg18940763,cg09847584,cg13958426,cg24625388,cg14679230,cg06123346,cg05859264,cg11172423,cg25691167,cg14679230,cg02254461,cg19264571,cg06123346,cg12006284,cg07651914,cg11213150,cg19205533,cg07651914,cg07651914,cg04456238,cg00548268,cg14833385,cg18552413,cg13958426,cg00548268
cg14175438,cg19594666,cg18704047,cg12006284,cg11394785,cg02989940,cg18704047,cg05859264,cg04456238,cg19205533,cg04268405,cg13897627,cg02329886,cg09837977,cg05859264,cg24625388,cg15528736,cg11394785,cg21902327,cg11213150,cg24625388,cg24625388,cg09847584,cg06123346,cg13897627,cg25391023,cg09847584
cg18680834,cg19797376,cg27378216,cg09061733,cg13897627,cg09847584,cg26353877,cg04456238,cg13631913,cg13311440,cg20542190,cg09272256,cg02351381,cg15700197,cg04456238,cg15739437,cg11052143,cg15739437,cg12006284,cg27378216,cg12006284,cg19205533,cg02164046,cg05859264,cg14726637,cg02164046,cg02164046
cg10221736,cg19946699,cg11052143,cg02131853,cg22980079,cg21949305,cg11052143,cg13631913,cg19797376,cg18704047,cg09272256,cg26218269,cg02512860,cg16361890,cg13631913,cg22979433,cg13448625,cg20070090,cg27378216,cg19205533,cg19205533,cg12006284,cg05440289,cg04456238,cg02512860,cg12006284,cg05440289
cg13448625,cg20066612,cg13311440,cg07660236,cg08047907,cg21414251,cg27378216,cg20070090,cg02164046,cg13897627,cg13897627,cg02512860,cg02589695,cg11172423,cg20070090,cg03143849,cg27378216,cg26353877,cg22979433,cg16361890,cg27378216,cg26687173,cg05828624,cg13631913,cg20070090,cg03548857,cg05828624
cg20070090,cg20070090,cg21902327,cg16361890,cg15787039,cg04057858,cg13311440,cg19797376,cg21414251,cg05828624,cg12274479,cg22979433,cg02691091,cg15787039,cg19797376,cg09272256,cg21414251,cg03548857,cg09061733,cg00718513,cg22979433,cg13958426,cg27390220,cg20070090,cg11172423,cg22165175,cg27390220
cg08009711,cg17214107,cg18552413,cg02989940,cg21949305,cg00619207,cg18552413,cg03548857,cg20070090,cg03109316,cg14726637,cg01958189,cg02989940,cg09061733,cg08009711,cg05828624,cg01656853,cg13958426,cg05828624,cg12006284,cg09272256,cg27378216,cg03109316,cg10660256,cg06771126,cg11213150,cg03109316
cg18552413,cg17049328,cg14726637,cg05127924,cg03602500,cg05606799,cg07763768,cg02989940,cg10660256,cg21949305,cg10667970,cg11052143,cg03003745,cg15791248,cg03548857,cg19205533,cg07084163,cg05828624,cg22165175,cg25391023,cg25391023,cg18704047,cg09272256,cg08009711,cg24625388,cg21414251,cg09272256
