MORE:Ranker,MOGONET:Ranker,shap,lime,t_test,randomforest_feature_importance,xgb_feature_importance,rf_permutation_feature_importance,xgb_permutation_feature_importance,lasso,ridge,elasticnet,boruta,mannwhitneyu,svm_rfe,mean_rank,min_rank,median_rank,rra_rank,geom.mean_rank,stuart_rank,mra_rank,mean_weight,max_weight,median_weight,geom.mean_weight,ta_weight
BUB1B,ABCA10,HSD17B6,MMP11,COL10A1,MMP11,MMP11,HSD17B6,MMP11,COL10A1,HSD17B6,HSD17B6,ABCA10,MMP11,CPA1,COL10A1,HSD17B6,MMP11,COL10A1,COL10A1,COL10A1,MMP11,HSD17B6,CPA1,MMP11,HSD17B6,HSD17B6
cg10520594,cg08047907,MMP11,COL10A1,MMP11,cg26353877,TMEM220,FIGF,HSD17B6,HSD17B6,COL10A1,COL10A1,ABCB5,TMEM220,NEK2,HSD17B6,MMP11,COL10A1,HSD17B6,HSD17B6,HSD17B6,HSD17B6,MMP11,CAV1,HSD17B6,MMP11,MMP11
cg23290344,cg09340639,COL10A1,cg26353877,FIGF,TSLP,COL10A1,UBE2C,PKMYT1,KIAA0408,PPAPDC1A,KIAA0408,ACACB,COL10A1,MYOC,MMP11,COL10A1,HSD17B6,MMP11,MMP11,MMP11,COL10A1,COL10A1,PKMYT1,COL10A1,COL10A1,COL10A1
cg08823182,cg09272256,SDPR,TSLP,SPRY2,SPRY2,HSD17B6,TNS1,EBF1,GLRA4,GLRA4,GLRA4,ACVR1C,KLHL29,CA4,CPA1,ABCA10,CPA1,LRRC3B,CPA1,CPA1,SPRY2,KIAA0408,MESTIT1,KIAA0408,CPA1,KIAA0408
cg04598121,cg09120035,cg21504624,SPRY2,LRRC3B,COL10A1,SDPR,NEK2,APOB,cg27091787,KIAA0408,cg27091787,ADAMTS5,SPRY2,GPAM,LRRC3B,CPA1,LRRC3B,CPA1,LRRC3B,LRRC3B,GLRA4,cg26353877,LRRC3B,GLRA4,LOC572558,cg26353877
cg11003133,cg09061733,TMEM220,ANGPTL7,TSLP,TMEM220,LOC572558,MYOC,NEK2,GABRD,GABRD,PPAPDC1A,ADH1A,FIGF,HSD17B13,LOC572558,FIGF,PPAPDC1A,LOC572558,PPAPDC1A,LOC572558,TMEM220,GLRA4,KIF4A,cg27091787,cg21504624,GLRA4
cg02131853,cg09037813,HIF3A,HSD17B6,HSD17B6,cg15700197,LRRC3B,CA4,MYOC,cg27378216,C3orf50,GABRD,ADH4,HSD17B6,LOC572558,PPAPDC1A,TMEM220,FIGF,PPAPDC1A,LOC572558,PPAPDC1A,SDPR,PPAPDC1A,LYVE1,SDPR,LRRC3B,PPAPDC1A
cg06259570,cg08947964,cg25943276,SDPR,cg15739437,SDPR,cg21504624,GPAM,CA4,cg13311440,cg27091787,CPA1,ADRA1A,ADAMTS5,MMP11,CCDC64,cg26353877,LOC572558,TMEM220,FIGF,FIGF,CPA1,cg27091787,AQP7P3,GABRD,cg00910168,cg27091787
cg21902327,cg08886154,CPA1,cg15700197,TMEM220,NKAPL,cg25943276,HSD17B13,GPAM,CCDC64,cg13448625,cg05538432,ALDH1L1,PAMR1,COL10A1,ANGPTL7,ADAMTS5,NKAPL,MESTIT1,TMEM220,MESTIT1,TSLP,GABRD,GLYAT,cg27378216,CCDC64,GABRD
cg26687173,cg08823182,LOC572558,KLHL29,KLHL29,HSD17B6,HPSE2,LOC572558,HSD17B13,cg05538432,C13orf36,cg27378216,ANGPT4,TSLP,FIGF,MESTIT1,PKMYT1,MESTIT1,FIGF,SDPR,SDPR,LRRC3B,SDPR,ADRA1A,PPAPDC1A,SDPR,SDPR
ADH4,cg08331313,LRRC3B,TMEM220,RYR3,CD300LG,cg01593385,MMP11,LOC572558,cg02589695,CCDC64,C13orf36,ANGPTL7,CPA1,PKMYT1,GABRD,ARHGAP20,SDPR,ANGPTL7,MESTIT1,TMEM220,LOC572558,CCDC64,KIAA0101,CCDC64,TMEM220,CCDC64
PPAP2B,cg08191854,HPSE2,cg19264571,cg15700197,cg19264571,HIF3A,COL10A1,COL10A1,C13orf36,PAPPA2,NPY2R,ANLN,NKAPL,MESTIT1,FIGF,KIAA0408,TMEM220,PAMR1,CCDC64,CCDC64,KIAA0408,CPA1,UHRF1,TMEM220,cg15528736,CPA1
C12orf39,cg08009711,cg01593385,ADAMTS5,PPAPDC1A,PPAPDC1A,CPA1,PKMYT1,FIGF,cg15528736,CPA1,cg15528736,AOC3,MESTIT1,LRRC3B,SDPR,PPAPDC1A,GLRA4,CCDC64,ANGPTL7,ANGPTL7,C13orf36,cg15528736,cg20312687,cg21504624,cg13311440,cg15528736
cg09871043,ABCB5,cg02131853,NKAPL,PAMR1,KLHL29,cg00910168,cg11521325,MESTIT1,C3orf50,MMP11,cg13448625,APOB,cg11052143,KIF4A,cg05859264,UBE2C,CA4,NKAPL,GLRA4,GABRD,PPAPDC1A,TSLP,LHCGR,cg13311440,GABRD,TSLP
cg09061733,cg07947016,TRPM3,FIGF,CA4,PKMYT1,TRPM3,MESTIT1,MYOM1,cg03548857,cg26218269,C3orf50,AQP7P1,cg15700197,LYVE1,CA4,TSLP,ANGPTL7,GLRA4,CA4,GLRA4,FIGF,SPRY2,TNS1,cg05538432,ANGPTL7,SPRY2
cg01731341,cg07763768,cg00910168,cg02989940,cg15791248,cg00619207,cg02131853,LRRC3B,LRRC3B,CPA1,cg15528736,cg03548857,AQP7P3,CD300LG,AQP7P3,HIF3A,KLHL29,FAM13A,SPRY2,GABRD,CA4,KLHL29,cg13311440,GPR146,cg26353877,PPAPDC1A,cg13311440
CAT,cg07660236,NEK2,cg23458892,cg24625388,MESTIT1,cg09340639,KIF4A,KIF4A,ANGPTL7,LOC729467,PAPPA2,AQPEP,cg24625388,GLYAT,PAMR1,LRRC3B,PAMR1,GABRD,SPRY2,PAMR1,CA4,LRRC3B,CCDC64,C13orf36,NPY2R,LRRC3B
SLC2A4,cg07651914,MYOC,cg22165175,LOC572558,PALMD,cg24884084,LYVE1,LYVE1,NPY2R,cg27378216,MMP11,ARHGAP20,cg21504624,ADRA1A,B3GALT1,TNS1,cg00910168,CA4,cg26353877,NKAPL,cg15700197,ANGPTL7,UBE2C,cg11003133,cg27091787,ANGPTL7
cg06059810,cg07337598,CA4,cg00619207,DPP6,cg11003133,cg20542190,AQP7P3,AQP7P3,cg00910168,PTTG1,LRRC3B,ASF1B,ARHGAP20,KIAA0101,DPP6,GLRA4,cg01656853,SDPR,NKAPL,SPRY2,cg27091787,LOC572558,HPSE2,cg02989940,cg03548857,LOC572558
cg04456238,cg07084163,GPAM,PPAPDC1A,SDPR,cg11052143,cg11521325,GLYAT,GLYAT,cg03143849,cg03548857,CCDC64,ASPA,cg26353877,CAV1,CAV1,BTNL9,cg10266490,cg05859264,HIF3A,KIAA0408,MESTIT1,cg21504624,ADH1A,CPA1,cg05538432,cg21504624
cg27342801,cg06771126,HSD17B13,CENPM,cg02131853,cg15791248,cg19205533,ADRA1A,ADRA1A,PPAPDC1A,cg05538432,cg00910168,ASPM,LRRC3B,UHRF1,cg21504624,SDPR,ADAMTS5,KLHL29,TSLP,cg26353877,CCDC64,cg03548857,GSN,ANGPTL7,cg03143849,cg03548857
KLHL33,cg06615154,FIGF,PALMD,NKAPL,ITIH5,cg20512303,KIAA0101,KIAA0101,cg08009711,NPY2R,cg21504624,ATOH8,cg05859264,LHCGR,CD300LG,EBF1,CCDC64,TSLP,cg21504624,HIF3A,cg26353877,cg13288195,DPP6,cg00619207,HIF3A,cg13288195
KIFC1,cg06259570,PKMYT1,cg11003133,HIF3A,CCDC64,cg21902327,CAV1,CAV1,cg24884084,CLEC3B,cg13311440,B3GALT1,SDPR,TNS1,cg01656853,SPRY2,CD300LG,FAM13A,ADAMTS5,ADAMTS5,cg00910168,cg05538432,FIGF,cg15528736,cg25943276,cg05538432
cg18680834,cg06226384,MESTIT1,cg08191854,CD300LG,cg02989940,cg25536676,UHRF1,UHRF1,cg04086834,LRRC3B,cg03143849,BIRC5,cg02989940,APOB,PKMYT1,CA4,ITIH5,cg00910168,PAMR1,cg05859264,cg15528736,TMEM220,COL10A1,cg19264571,cg02589695,TMEM220
cg05127924,cg09478478,KIF4A,cg24870391,CPA1,DMD,cg10883352,APOB,IQGAP3,cg19456540,cg03143849,LOC572558,BTNL9,RYR3,IQGAP3,GLRA4,cg21504624,PDE2A,KIAA0408,CD300LG,cg21504624,NKAPL,C3orf50,MMP11,cg02589695,cg26353877,C3orf50
