MORE:Ranker,MOGONET:Ranker,shap,lime,t_test,randomforest_feature_importance,xgb_feature_importance,rf_permutation_feature_importance,xgb_permutation_feature_importance,lasso,ridge,elasticnet,boruta,mannwhitneyu,svm_rfe,mean_rank,min_rank,median_rank,rra_rank,geom.mean_rank,stuart_rank,mra_rank,mean_weight,max_weight,median_weight,geom.mean_weight,ta_weight
cg19954000,cg00095526,cg02654291,cg02489552,cg12845808,cg02489552,cg22442730,cg00466249,cg12864235,cg12845808,cg12845808,cg12845808,cg00095526,cg12845808,cg12845808,cg06690548,cg02654291,cg12845808,cg12845808,cg12845808,cg12845808,cg12845808,cg12845808,cg12845808,cg12845808,cg06690548,cg12845808
cg10923408,cg19954000,cg12981137,cg06690548,cg22442730,cg22442730,cg07412254,cg20028470,cg24765079,cg24134767,cg16361890,cg27146152,cg00174500,cg22442730,cg22442730,cg22442730,cg00466249,cg06690548,cg06690548,cg06690548,cg06690548,cg22442730,cg06690548,cg27104271,cg22442730,cg12845808,cg06690548
cg02397720,cg18986273,cg02008416,cg22472290,cg02489552,cg22472290,cg11126134,cg22672790,cg00745735,cg27146152,cg27146152,cg16604516,cg00204262,cg24765079,cg02489552,cg24765079,cg02489552,cg22442730,cg24765079,cg22442730,cg22442730,cg06690548,cg22442730,cg15984661,cg06690548,cg19832721,cg22442730
cg00777121,cg18988110,cg06690548,cg02654291,cg15780361,cg06690548,cg05886367,cg00840516,cg18986273,cg16604516,cg16604516,cg16361890,cg00466249,cg02489552,cg15780361,cg12845808,cg00597076,cg19832721,cg16003238,cg24765079,cg24765079,cg02489552,cg19832721,cg04983977,cg19832721,cg12864235,cg19832721
cg03389133,cg19125606,cg00466249,cg24765079,cg11052143,cg02654291,cg22472290,cg24362726,cg19884658,cg16361890,cg19832721,cg24134767,cg00498305,cg15780361,cg11052143,cg19832721,cg12864235,cg22472290,cg22442730,cg19832721,cg16003238,cg24765079,cg24765079,cg20217872,cg02654291,cg22442730,cg24765079
cg13043509,cg19138960,cg19832721,cg12864235,cg01869233,cg12845808,cg05512756,cg00727590,cg27104271,cg19832721,cg20028470,cg19832721,cg00534274,cg06690548,cg01869233,cg16003238,cg22442730,cg24765079,cg02489552,cg02489552,cg19832721,cg02654291,cg12864235,cg06690548,cg16361890,cg24765079,cg12864235
cg26143719,cg19264571,cg22472290,cg01612158,cg06690548,cg02008416,cg03003745,cg22545356,cg26832211,cg06690548,cg24134767,cg20028470,cg00597076,cg11052143,cg06690548,cg12864235,cg12845808,cg16003238,cg14851685,cg12864235,cg02489552,cg19832721,cg22472290,cg11761535,cg22472290,cg22472290,cg22472290
cg22534509,cg19368582,cg24362726,cg12981137,cg16003238,cg19832721,cg12845808,cg10978355,cg02654291,cg19485804,cg24389347,cg06690548,cg00727590,cg16003238,cg16003238,cg14851685,cg02008416,cg12864235,cg11761535,cg16003238,cg12864235,cg22472290,cg02654291,cg16003238,cg19485804,cg12981137,cg02654291
cg01612158,cg19485804,cg00745735,cg12845808,cg24670715,cg24765079,cg13043509,cg22740835,cg24362726,cg16970828,cg05668853,cg24389347,cg00745735,cg15984661,cg24670715,cg11761535,cg06690548,cg27104271,cg12864235,cg22472290,cg11761535,cg20028470,cg12981137,cg02347487,cg27146152,cg16003238,cg12981137
cg23616741,cg19504245,cg19485804,cg01869233,cg24765079,cg16003238,cg19368582,cg16382322,cg00466249,cg20028470,cg04527918,cg19485804,cg00777121,cg22472290,cg24765079,cg00745735,cg12981137,cg11761535,cg19832721,cg02654291,cg14851685,cg24362726,cg00745735,cg15780361,cg24134767,cg14851685,cg00745735
cg04527918,cg19832721,cg05050341,cg24362726,cg15984661,cg11761535,cg11136562,cg27146152,cg22442730,cg24389347,cg19485804,cg05668853,cg00840516,cg24670715,cg15984661,cg06946880,cg24134767,cg14851685,cg25903497,cg02008416,cg22472290,cg27146152,cg16361890,cg24765079,cg12864235,cg02008416,cg16361890
cg26200585,cg19884658,cg12845808,cg02008416,cg04983977,cg26832211,cg24365867,cg02932167,cg24178740,cg26143719,cg06690548,cg04527918,cg01612158,cg04983977,cg04983977,cg12981137,cg20028470,cg00727590,cg06946880,cg11761535,cg02654291,cg19485804,cg16003238,cg22472290,cg14851685,cg00745735,cg16003238
cg21663431,cg20028470,cg09705062,cg02347487,cg11761535,cg12864235,cg24670715,cg17506742,cg12981137,cg05668853,cg22545356,cg16970828,cg01869233,cg01869233,cg11761535,cg02347487,cg24765079,cg19485804,cg09705062,cg12981137,cg06946880,cg02008416,cg14851685,cg24365867,cg16970828,cg11761535,cg14851685
cg25277950,cg00174500,cg00727590,cg22442730,cg19368582,cg04983977,cg17253459,cg08351331,cg00727590,cg14851685,cg16970828,cg26143719,cg02008416,cg11761535,cg19368582,cg09705062,cg16361890,cg02008416,cg22472290,cg00745735,cg12981137,cg12981137,cg19485804,cg26832211,cg12981137,cg19485804,cg19485804
cg27243140,cg20217872,cg20028470,cg26832211,cg00840516,cg06849477,cg27104271,cg08727202,cg15517609,cg17506742,cg14851685,cg14851685,cg02010852,cg19368582,cg00840516,cg22472290,cg07412254,cg08578641,cg02654291,cg14851685,cg00745735,cg04983977,cg02008416,cg07193504,cg24765079,cg02654291,cg02489552
cg08241785,cg20300246,cg27104271,cg11761535,cg22472290,cg02347487,cg08578641,cg12052765,cg02347487,cg00727590,cg26143719,cg12864235,cg02347487,cg07412254,cg22472290,cg02008416,cg27146152,cg26832211,cg02008416,cg19485804,cg02008416,cg16003238,cg02489552,cg00466249,cg16604516,cg16970828,cg02008416
cg06637893,cg20483374,cg02347487,cg09382492,cg05697249,cg01612158,cg08548888,cg13633560,cg01612158,cg08578641,cg12864235,cg05429895,cg02397720,cg05697249,cg05697249,cg19368582,cg11126134,cg01869233,cg00745735,cg00466249,cg02347487,cg11761535,cg27146152,cg02489552,cg02489552,cg05668853,cg27146152
cg00204262,cg20664201,cg22442730,cg13334277,cg13288195,cg08578641,cg27159719,cg12793610,cg06220958,cg12864235,cg05429895,cg22534509,cg02489552,cg18182399,cg13288195,cg26832211,cg02347487,cg02489552,cg00727590,cg16361890,cg09705062,cg16970828,cg24134767,cg08578641,cg16003238,cg09705062,cg24134767
cg24910675,cg20692569,cg14851685,cg04983977,cg19264571,cg09382492,cg17071957,cg03852570,cg26509022,cg22545356,cg22534509,cg22545356,cg02595219,cg20217872,cg19264571,cg00727590,cg16604516,cg18986273,cg19485804,cg02347487,cg19485804,cg26832211,cg11761535,cg24134767,cg22545356,cg08578641,cg09705062
cg18988110,cg20744464,cg18986273,cg16003238,cg18182399,cg12981137,cg03852570,cg14792480,cg13673514,cg22534509,cg16003238,cg17506742,cg02654291,cg02008416,cg18182399,cg02654291,cg22672790,cg00745735,cg02347487,cg00727590,cg25903497,cg02347487,cg09705062,cg12981137,cg00745735,cg06946880,cg16604516
cg16361890,cg20870559,cg15127733,cg15780361,cg20217872,cg05668853,cg02489552,cg23349242,cg09656934,cg18986273,cg17506742,cg16003238,cg02932167,cg13288195,cg20217872,cg16970828,cg22472290,cg06946880,cg12981137,cg26832211,cg00727590,cg00727590,cg00466249,cg16970828,cg20028470,cg24134767,cg26832211
cg24178740,cg20910746,cg04983977,cg19832721,cg10923408,cg23579062,cg15127733,cg21960110,cg05050341,cg24765079,cg17928268,cg08351331,cg03003745,cg02347487,cg10923408,cg02489552,cg00745735,cg09705062,cg18986273,cg24134767,cg16361890,cg12864235,cg16604516,cg19485804,cg26143719,cg00727590,cg05668853
cg09152089,cg21062347,cg13673514,cg08578641,cg10942056,cg12556134,cg03453449,cg27016307,cg20744464,cg04527918,cg20664201,cg00727590,cg03258472,cg19264571,cg10942056,cg25903497,cg15780361,cg19368582,cg08578641,cg24362726,cg26832211,cg24134767,cg26832211,cg02008416,cg05668853,cg02347487,cg00466249
