MORE:Ranker,MOGONET:Ranker,shap,lime,t_test,randomforest_feature_importance,xgb_feature_importance,rf_permutation_feature_importance,xgb_permutation_feature_importance,lasso,ridge,elasticnet,boruta,mannwhitneyu,svm_rfe,mean_rank,min_rank,median_rank,rra_rank,geom.mean_rank,stuart_rank,mra_rank,mean_weight,max_weight,median_weight,geom.mean_weight,ta_weight
cg15789095,cg00095526,hsa-miR-132,cg22472290,hsa-miR-132,hsa-miR-132,cg02010852,cg13633560,hsa-miR-132,hsa-miR-125a-5p,cg19832721,hsa-miR-125a-5p,cg00095526,hsa-miR-132,hsa-miR-132,hsa-miR-129-5p,hsa-miR-132,hsa-miR-132,hsa-miR-129-5p,hsa-miR-132,hsa-miR-129-5p,hsa-miR-132,hsa-miR-132,hsa-miR-132,hsa-miR-132,hsa-miR-132,hsa-miR-132
hsa-miR-216a,hsa-miR-186,hsa-miR-129-5p,hsa-miR-132,hsa-miR-129-5p,hsa-miR-129-5p,cg01612158,cg12981137,hsa-miR-129-5p,hsa-miR-885-5p,hsa-miR-30a,hsa-miR-30a,cg00174500,hsa-miR-129-5p,hsa-miR-129-5p,hsa-miR-132,cg00597076,hsa-miR-129-5p,hsa-miR-132,hsa-miR-129-5p,hsa-miR-132,hsa-miR-129-5p,hsa-miR-129-5p,hsa-miR-375,cg12981137,hsa-miR-129-5p,hsa-miR-129-5p
hsa-miR-590-5p,hsa-miR-199a-5p,cg12981137,hsa-miR-129-5p,cg12845808,hsa-miR-29a,cg12052765,cg01612158,hsa-miR-181c,hsa-miR-129-5p,cg12981137,hsa-miR-129-5p,cg00204262,cg12845808,hsa-miR-29a,cg12981137,cg13633560,cg06690548,cg06690548,cg12981137,cg06690548,cg12981137,cg12981137,cg19504245,hsa-miR-129-5p,cg12981137,cg12981137
cg14851685,hsa-miR-1979,cg02654291,cg06690548,cg22442730,cg12845808,cg02489552,cg00840516,cg18986273,hsa-miR-30a,hsa-miR-129-5p,hsa-miR-885-5p,cg00466249,cg22442730,hsa-miR-133b,cg12845808,hsa-miR-125a-5p,cg02489552,cg12981137,cg06690548,cg12981137,cg02489552,cg06690548,cg06220958,hsa-miR-885-5p,cg06690548,cg06690548
hsa-let-7g,hsa-miR-197,hsa-miR-146b-5p,hsa-miR-432,cg02489552,cg22472290,cg11761535,cg03852570,hsa-miR-1246,cg24134767,cg01869233,cg19832721,cg00498305,hsa-miR-29a,hsa-miR-433,cg06690548,cg19832721,cg12981137,cg12845808,cg12845808,cg12845808,hsa-miR-146b-5p,hsa-miR-885-5p,cg19832721,cg19832721,hsa-miR-146b-5p,hsa-miR-885-5p
hsa-miR-1297,hsa-miR-195,hsa-miR-125a-5p,cg15780361,cg15780361,cg06690548,cg21671476,hsa-miR-496,hsa-miR-99b,cg06690548,hsa-miR-132,hsa-miR-146b-5p,cg00534274,cg24765079,hsa-miR-129-3p,cg06946880,cg02010852,cg11761535,cg02489552,hsa-miR-29a,cg11761535,cg06690548,cg19832721,cg12864235,cg06690548,cg12845808,cg19832721
cg23741330,hsa-miR-194,hsa-miR-29a,cg24765079,cg11052143,cg15984661,cg22442730,cg21301148,cg20300246,cg19832721,hsa-miR-150,cg12981137,cg00597076,cg02489552,hsa-miR-432,cg11761535,cg22472290,cg12845808,cg06946880,hsa-miR-885-5p,hsa-miR-885-5p,cg16003238,hsa-miR-146b-5p,cg00745735,cg11761535,cg12864235,hsa-miR-146b-5p
hsa-miR-1266,hsa-miR-193b,hsa-miR-150,cg16003238,cg01869233,hsa-miR-504,hsa-miR-595,hsa-miR-206,cg02489552,hsa-miR-146b-5p,hsa-miR-423-3p,cg06690548,cg00727590,cg15780361,ebv-miR-BART8,cg16003238,cg01612158,cg12864235,cg11761535,cg11761535,cg16003238,cg15780361,cg11761535,cg15127733,cg12845808,hsa-miR-885-5p,cg11761535
cg18343292,hsa-miR-192,hsa-miR-423-3p,cg08578641,cg06690548,cg16003238,kshv-miR-K12-4-5p,hsa-miR-361-5p,cg16003238,cg12981137,hsa-miR-146b-5p,hsa-miR-99a,cg00745735,cg06690548,hsa-miR-885-5p,hsa-miR-885-5p,hsa-miR-129-5p,cg16003238,hsa-miR-29a,cg19832721,cg02489552,hsa-miR-885-5p,cg12845808,cg00597076,hsa-miR-423-3p,cg11761535,cg12864235
hsa-miR-125a-5p,hsa-miR-1912,cg06220958,cg04983977,cg16003238,cg15780361,hsa-miR-107,cg07193504,hsa-let-7i,hsa-miR-150,hsa-miR-885-5p,cg01869233,cg00777121,cg11052143,hsa-miR-362-3p,hsa-miR-29a,cg12981137,cg19832721,cg12864235,hsa-miR-146b-5p,hsa-miR-29a,hsa-miR-150,cg12864235,cg02010852,hsa-miR-146b-5p,hsa-miR-29a,cg12845808
