MORE:Ranker,MOGONET:Ranker,shap,lime,t_test,randomforest_feature_importance,xgb_feature_importance,rf_permutation_feature_importance,xgb_permutation_feature_importance,lasso,ridge,elasticnet,boruta,mannwhitneyu,svm_rfe,mean_rank,min_rank,median_rank,rra_rank,geom.mean_rank,stuart_rank,mra_rank,mean_weight,max_weight,median_weight,geom.mean_weight,ta_weight
hsa-miR-149,A2ML1,hsa-miR-129-5p,hsa-miR-132,hsa-miR-132,hsa-miR-132,ARRDC2,PLEKHM2,cg06220958,hsa-miR-885-5p,cg12981137,hsa-miR-885-5p,A2ML1,hsa-miR-132,hsa-miR-132,hsa-miR-132,hsa-miR-129-5p,hsa-miR-129-5p,hsa-miR-129-5p,hsa-miR-132,hsa-miR-129-5p,hsa-miR-132,hsa-miR-129-5p,hsa-miR-132,hsa-miR-132,hsa-miR-129-5p,hsa-miR-107
cg09152089,cg27016307,hsa-miR-132,PPDPF,SLC6A12,hsa-miR-129-5p,S100A4,cg22442730,APLN,hsa-miR-129-5p,hsa-miR-129-5p,hsa-miR-129-5p,ADIPOR2,SLC6A12,hsa-miR-129-5p,PLEKHM2,hsa-miR-132,hsa-miR-132,hsa-miR-132,hsa-miR-129-5p,hsa-miR-132,hsa-miR-129-5p,hsa-miR-132,SLC6A9,hsa-miR-129-5p,hsa-miR-132,hsa-miR-374a
cg19368582,cg27132814,PLEKHM2,hsa-miR-129-5p,hsa-miR-129-5p,PPDPF,cg02489552,PIEZO2,hsa-miR-129-5p,hsa-miR-30a,hsa-miR-30a,hsa-miR-30a,ADORA2A,hsa-miR-129-5p,hsa-miR-29a,hsa-miR-129-5p,PLEKHM2,APLN,PLEKHM2,PLEKHM2,PLEKHM2,PPDPF,hsa-miR-885-5p,cg16361890,hsa-miR-885-5p,PLEKHM2,hsa-miR-1979
VSTM2L,cg27146152,APLN,FFAR4,PPDPF,CCDC69,SMIM10L2A,hsa-miR-448,PLEKHM2,SPACA6,ebv-miR-BART2-5p,hsa-miR-99a,ADRA1D,PPDPF,hsa-miR-133b,cg16003238,AGPAT1,QDPR,QDPR,hsa-miR-885-5p,hsa-miR-885-5p,hsa-miR-885-5p,PLEKHM2,CSRP1,SPACA6,cg12981137,hsa-miR-518e
hsa-miR-381,cg27159719,MEIS3,cg10313673,PRELP,NRIP2,cg03870261,hsa-miR-885-5p,MAP4K3-DT,hsa-miR-99a,cg19832721,cg12981137,AGPAT1,CCDC69,hsa-miR-433,cg22442730,cg12981137,PLEKHM2,CCDC69,APLN,QDPR,ARRDC2,cg12981137,cg00840516,PLEKHM2,hsa-miR-885-5p,hsa-let-7b
hsa-miR-520d-3p,cg27243140,cg12981137,CCDC69,SLC6A9,cg22442730,cg12052765,cg25947945,AQP6,hsa-miR-125a-5p,hsa-miR-423-3p,SPACA6,AIF1L,ARRDC2,hsa-miR-129-3p,hsa-miR-885-5p,ARRDC2,AQP6,cg16003238,PPDPF,APLN,APLN,hsa-miR-146b-5p,cg11761535,cg19832721,hsa-miR-146b-5p,hsa-miR-1297
TGFBR3L,ebv-miR-BART2-5p,cg02654291,MPV17L2,ARRDC2,APLN,hsa-miR-31,cg20483374,hsa-miR-132,cg24134767,RPL29,hsa-miR-125a-5p,ANKRD19P,SLC6A9,hsa-miR-432,PTPRF,cg06220958,SLC6A12,PTPRF,cg12981137,PPDPF,CCDC69,SPACA6,cg04983977,cg19485804,cg22442730,hsa-miR-92b
hsa-miR-2117,ebv-miR-BART8,FZD9,cg15780361,CCDC69,SLC6A9,MRAS,hsa-miR-132,hsa-miR-375,hsa-let-7e,hsa-miR-885-5p,cg24134767,ANKRD40,APLN,ebv-miR-BART8,MEIS3,hsa-miR-885-5p,CCDC69,cg22442730,SLC6A12,cg22442730,cg12981137,cg19832721,cg24765079,hsa-miR-146b-5p,PTPRF,hsa-miR-520d-3p
hsa-miR-544,hcmv-miR-UL70-3p,CCDC69,A2ML1,CARHSP1,PRELP,cg19884658,cg20300246,hsa-miR-125a-5p,cg19832721,cg11761535,hsa-miR-146b-5p,ANLN,PRELP,hsa-miR-885-5p,PPDPF,APLN,PPDPF,APLN,CCDC69,cg12981137,hsa-miR-125a-5p,cg22442730,cg16003238,cg12981137,cg19832721,hsa-miR-216a
hsa-miR-516a-3p,hsa-let-7b,SLC30A3,cg16003238,CSRP1,ARRDC2,SLC6A12,cg06637893,cg20300246,cg12981137,hsa-miR-146b-5p,hsa-miR-548a-3p,APLN,ANLN,hsa-miR-362-3p,QDPR,cg22442730,cg12981137,AQP6,QDPR,CCDC69,hsa-miR-548a-3p,QDPR,cg06690548,FFAR4,SPACA6,hsa-miR-96
