MORE:Ranker,MOGONET:Ranker,shap,lime,t_test,randomforest_feature_importance,xgb_feature_importance,rf_permutation_feature_importance,xgb_permutation_feature_importance,lasso,ridge,elasticnet,boruta,mannwhitneyu,svm_rfe,mean_rank,min_rank,median_rank,rra_rank,geom.mean_rank,stuart_rank,mra_rank,mean_weight,max_weight,median_weight,geom.mean_weight,ta_weight
hsa-miR-654-3p,cg26218269,cg15700197,LRRC3B,MMP11,LRRC3B,CD300LG,hsa-miR-21-5p,cg15700197,cg23290344,hsa-miR-590-3p,cg03802191,ABCA10,PPP1R12B,hsa-miR-21-5p,cg15700197,cg15700197,cg23290344,cg15700197,cg15700197,cg15700197,cg15700197,cg15700197,hsa-miR-21-5p,SLC35A2,cg15700197,hsa-miR-656-3p
PYCR1,KIAA0101,CD300LG,cg05606799,COL10A1,TMEM220,cg15700197,hsa-miR-139-5p,hsa-miR-139-5p,SLC35A2,cg03802191,SLC35A2,ABCB5,cg15700197,hsa-miR-139-5p,hsa-miR-21-5p,CD300LG,cg15700197,cg23290344,cg23290344,cg23290344,SPTBN1,cg23290344,cg02100848,cg15700197,cg23290344,hsa-miR-299-3p
LRRC2,CCNB2,cg03602500,TMEM220,cg15700197,LMOD1,PPP1R12B,hsa-miR-96-5p,hsa-miR-96-5p,cg03802191,hsa-miR-493-5p,SLC7A14,ACACB,LMOD1,hsa-miR-139-3p,cg23290344,PPP1R12B,COL10A1,COL10A1,hsa-miR-21-5p,hsa-miR-21-5p,cg23290344,cg03802191,cg07660236,cg03802191,PPP1R12B,cg04086834
cg11172423,PTTG1,PPP1R12B,SPTBN1,cg23290344,cg05606799,cg03602500,hsa-miR-183-5p,hsa-miR-183-5p,C1QTNF9,SLC7A14,PPAPDC1A,ACVR1C,TSLP,hsa-miR-96-5p,PPP1R12B,ABCA10,cg03602500,hsa-miR-21-5p,PPP1R12B,COL10A1,hsa-miR-21-5p,SLC35A2,cg10266490,LRRC3B,cg03602500,cg01958189
HEPN1,SPC25,cg05828624,LMOD1,cg26353877,SPTBN1,cg05828624,hsa-miR-145-5p,hsa-miR-145-5p,PPAPDC1A,SLC35A2,C1QTNF9,ADAMTS5,PALMD,hsa-miR-183-5p,COL10A1,cg23290344,hsa-miR-139-5p,cg03602500,COL10A1,PPP1R12B,PPP1R12B,LRRC3B,cg14175438,PPAPDC1A,SPTBN1,hsa-miR-192-5p
hsa-miR-185-3p,cg14726637,SPTBN1,COL10A1,PPAPDC1A,cg23290344,SPTBN1,hsa-miR-204-5p,hsa-miR-204-5p,hsa-miR-141-3p,hsa-miR-32-5p,hsa-miR-590-3p,ADH1A,ADAMTS5,hsa-miR-145-5p,C1QTNF9,hsa-miR-21-5p,hsa-miR-378a-5p,C1QTNF9,C1QTNF9,C1QTNF9,PPAPDC1A,C1QTNF9,cg08047907,C1QTNF9,hsa-miR-21-5p,cg08331313
cg07947016,IQGAP3,cg23290344,cg13897627,HSD17B6,CAV1,cg23290344,hsa-miR-10b-5p,hsa-miR-10b-5p,hsa-miR-21-5p,hsa-miR-148b-5p,cg23290344,ADH4,CPA1,hsa-miR-204-5p,hsa-miR-141-3p,hsa-miR-590-3p,PPP1R12B,PPP1R12B,cg03602500,SLC35A2,LRRC3B,COL10A1,cg25691167,cg23290344,COL10A1,cg25536676
hsa-miR-328-3p,SLC35A2,hsa-miR-21-5p,cg23290344,hsa-miR-21-5p,cg05828624,hsa-miR-21-5p,hsa-miR-1307-5p,hsa-miR-1307-5p,SLC7A14,hsa-miR-28-3p,HSD17B6,ADRA1A,CD300LG,hsa-miR-10b-5p,SPTBN1,hsa-miR-378a-5p,hsa-miR-21-5p,SLC35A2,SLC35A2,cg03602500,hsa-miR-28-3p,PPAPDC1A,cg03003745,SLC7A14,C1QTNF9,hsa-miR-3610
COL10A1,cg11213150,hsa-miR-139-3p,cg07947016,CA4,PPP1R12B,hsa-miR-139-3p,hsa-miR-486-5p,hsa-miR-486-5p,HSD17B6,PPAPDC1A,hsa-miR-28-3p,ALDH1L1,cg05859264,hsa-miR-1307-5p,SLC35A2,cg03802191,HSD17B6,hsa-miR-139-5p,LRRC3B,SPTBN1,COL10A1,cg03602500,cg04598121,SPTBN1,SLC35A2,CENPF
cg04057858,NUF2,hsa-miR-139-5p,PPP1R12B,LRRC3B,cg15700197,cg00718513,hsa-miR-182-5p,hsa-miR-182-5p,hsa-miR-28-3p,hsa-miR-758-3p,COL10A1,ANGPT4,hsa-miR-139-5p,hsa-miR-486-5p,cg03602500,LRRC3B,ARHGAP20,hsa-miR-378a-5p,SPTBN1,LRRC3B,CD300LG,PPP1R12B,cg22165175,cg05606799,cg03802191,hsa-miR-92b-3p
