MORE:Ranker,MOGONET:Ranker,lasso,mean_rank
PRKX,hsa-miR-150,hsa-miR-885-5p,hsa-miR-885-5p
cg15517609,hsa-miR-140-5p,hsa-miR-129-5p,hsa-miR-129-5p
hsa-miR-133a,hsa-let-7g,SPACA6,SPACA6
cg05697249,hsa-miR-204,hsa-miR-30a,hsa-miR-30a
cg24389347,hsa-miR-186,hsa-miR-125a-5p,hsa-miR-125a-5p
ARRDC2,hsa-miR-127-3p,hsa-miR-99a,hsa-miR-99a
hsa-miR-122,hsa-miR-126,cg24134767,cg24134767
cg19832721,hsa-miR-590-5p,hsa-let-7e,hsa-let-7e
hsa-miR-455-3p,hsa-miR-29a,cg19832721,cg19832721
cg22224704,hsa-miR-514,cg12981137,cg12981137
hsa-miR-590-5p,hsa-miR-15b,cg20664201,cg20664201
hsa-miR-451,hsa-miR-30a,cg16361890,cg16361890
cg12120741,FFAR4,hsa-miR-548a-3p,hsa-miR-548a-3p
cg25982743,hsa-miR-93,hsa-miR-423-3p,hsa-miR-423-3p
hsa-miR-335,hsa-miR-24,METTL1,METTL1
SEPTIN5,hsa-miR-361-5p,hsa-miR-146b-5p,hsa-miR-146b-5p
PHYHIP,RPSAP69,QDPR,QDPR
cg24365867,cg13299148,hsa-miR-150,hsa-miR-150
ebv-miR-BART2-5p,hsa-miR-193b,cg11761535,cg11761535
cg02347487,hsa-miR-424,hsa-miR-1308,hsa-miR-1308
cg23741330,TMEM107,hsa-miR-660,hsa-miR-660
hsa-miR-577,hsa-miR-132,hsa-miR-1912,hsa-miR-1912
hsa-miR-518e,hsa-miR-10a,CEDORA,CEDORA
cg13673514,hsa-miR-125b,cg12864235,cg12864235
hsa-miR-150,hsa-miR-101,FFAR4,FFAR4
cg23159337,cg21301148,cg09705062,cg09705062
ICAM5,hsa-miR-106b,cg23159337,cg23159337
SASH1,hsa-miR-324-5p,hsa-miR-33a,hsa-miR-33a
hsa-miR-218,hsa-miR-216a,ZNF652-AS1,ZNF652-AS1
cg19264571,WBP2,hsa-miR-378,hsa-miR-378
PIEZO2,hsa-miR-98,cg22442730,cg22442730
hcmv-miR-UL70-3p,hsa-miR-140-3p,cg06690548,cg06690548
hsa-miR-199a-5p,KIF5A,cg22398616,cg22398616
hsa-miR-193b,SEPTIN5,cg09656934,cg09656934
hsa-miR-582-5p,hsa-miR-34a,OLMALINC,OLMALINC
hsa-miR-148a,hsa-miR-487b,hsa-miR-525-5p,hsa-miR-525-5p
cg05512756,cg03258472,cg21301148,cg21301148
SLC44A1,hsa-miR-1286,kshv-miR-K12-4-5p,kshv-miR-K12-4-5p
RUSF1,kshv-miR-K12-2,cg27104271,cg27104271
hsa-miR-432,hsa-miR-1283,DBI,DBI
cg06637893,hsa-miR-595,hsa-miR-153,hsa-miR-153
TMEM132E-DT,hsv1-miR-H3,hsa-miR-34a,hsa-miR-34a
LINC01664,CACNG3,cg23616741,cg23616741
PTPRF,cg00466249,CCNO,CCNO
cg02489552,cg03972838,cg15127733,cg15127733
cg12864235,PLK2,cg24362726,cg24362726
hsa-miR-1912,cg00727590,hsa-miR-129-3p,hsa-miR-129-3p
cg23477967,cg03852570,CLMN,CLMN
hsa-miR-595,hsa-miR-488,A2ML1,A2ML1
hsa-miR-520d-3p,LNCBRM,hsa-miR-132,hsa-miR-132
SCN2B,hsa-miR-891b,cg16003238,cg16003238
KCNJ10,ARK2C,hsa-miR-516a-3p,hsa-miR-516a-3p
cg22740835,hsa-miR-378,hsa-miR-375,hsa-miR-375
ERFE,hsa-miR-16,cg19485804,cg19485804
hsa-miR-370,cg02595219,cg02008416,cg02008416
cg03400060,cg08351331,cg19504245,cg19504245
cg08351331,hsa-miR-296-5p,CNN3-DT,CNN3-DT
hsa-miR-106a_hsa-miR-17,cg12052765,hsa-miR-29a,hsa-miR-29a
cg20692569,cg05245515,hsa-miR-106a_hsa-miR-17,hsa-miR-106a_hsa-miR-17
hsa-miR-127-3p,hsa-miR-496,PTPRF,PTPRF
hsv1-miR-H3,CDH22,hsa-miR-1,hsa-miR-1
hsa-miR-424,cg11136562,hcmv-miR-UL70-3p,hcmv-miR-UL70-3p
hsa-miR-96,hsa-miR-138,hsa-miR-133a,hsa-miR-133a
cg20664201,cg09222115,hsa-miR-127-3p,hsa-miR-127-3p
EZR,hsa-miR-548h,cg00745735,cg00745735
cg24525573,cg15127733,hsa-let-7i,hsa-let-7i
hsa-miR-296-5p,cg22534509,cg15517609,cg15517609
SMTN,hsa-miR-374a,cg00777121,cg00777121
hsa-miR-490-5p,cg23674882,hsa-miR-767-5p,hsa-miR-767-5p
cg22672790,PHF19,cg12845808,cg12845808
hsa-miR-129-3p,TMEM59L,cg01869233,cg01869233
hsa-miR-374a,AGPAT1,TEAD2,TEAD2
PRELP,hsa-miR-448,ZBBX,ZBBX
cg08775230,WNT10B,RPL29,RPL29
COL26A1,hsa-miR-433,cg05973262,cg05973262
hsa-miR-10b,cg24389347,cg02654291,cg02654291
ZBBX,cg10978355,hsa-miR-329,hsa-miR-329
cg09705062,SLC4A11,HSPB2,HSPB2
GLI1,HMGN2,hsa-miR-361-3p,hsa-miR-361-3p
hsa-miR-34a,HIGD1B,cg05245515,cg05245515
hsa-miR-29b,GPCPD1,CACNG3,CACNG3
cg18182399,cg14435807,cg00727590,cg00727590
cg23499956,cg06220958,PPDPF,PPDPF
cg08548888,hsa-miR-425,hsa-miR-21,hsa-miR-21
hsa-miR-100,SMIM3,cg13334277,cg13334277
METTL1,hsa-miR-135a,hsa-miR-34b,hsa-miR-34b
hsa-miR-497,CCNO,MAP4K3-DT,MAP4K3-DT
CCKBR,cg13633560,hsa-miR-369-3p,hsa-miR-369-3p
hsa-miR-200a,cg20483374,CMTM3,CMTM3
MRGPRF,TAC3,hsa-miR-324-5p,hsa-miR-324-5p
